"";"PRC";"IN1";"INton";"INpreSer";"cPRC";"INRGWa";"INNOS";"Ser-h1";"MC";"cMNPDF-vcl1";"cMNATO";"cMNdc";"SNnuchPDF";"SNnuchNS";"SNnuchBx";"SNgolden";"SNhorn";"SNhook";"MNant";"SNlasso";"INlasso";"INdecussPre";"INpreMN";"SNMIP-vc";"SNmus";"SNantlerPDF";"SNPDF-dc";"SN0DLSO1.2-4";"SN-DLSO1.2-3";"SN-DLSO1.2-1";"SN-DLSO2";"SNMB2";"eyespot-PRCR3";"eyespot-PRCR1";"MS1";"MS4";"MS3";"MS5";"SN-ASTC";"SN-DLSO3-PDF";"SN-DLSO3";"MC2biax-1";"SN-IRP2-burs";"SN-IRP2-FMRF";"SN-MIP4";"SN-MIP1";"MNspinning";"SN-WLD";"SN-DSO";"SNbicil";"SNasym";"SN47Ach";"INCrossbow";"pygPBunp";"INarc1";"INarc2";"INsn";"INrope";"Loop";"INCM";"MNspider-ant";"MNspider-post";"MNbiramous";"MNring";"MNcrab";"MNhose";"MNbow";"MNwave";"MNacicX";"INchaeMech";"chaeMech";"INFVa-pyg";"INsplitCR";"INsplitCRATO";"INMC3";"INbiax";"INsplitPB-RF/Ya";"INsplitPBant";"INsplitPB";"PB";"interparaPM1";"cioMNcover";"INsplitPUh";"MN3";"MN1";"MN2";"MC3cover";"antPUc";"spinPU";"VentraltrunkPUunp";"trochPU";"hPUc1";"pygCirrusPUSM";"hCirrusPU";"parapodPU";"hPU";"dsoPU";"pygCirrusPU";"hPU2l-asymPDF";"hCR";"ventralpygCR";"doCRunp";"SN-DLSO1.0";"INdc";"INbackcross";"MNcommUpL";"MNob-ipsi";"INbiaxLeg";"INbiaxH";"SN-NS1";"SN-NS3";"SN-NS4";"SN-NS15";"SNaant";"SNPDF-pyg";"INfoot";"INW";"INmidL";"INhook";"INMBtype6";"INMBtype5";"INMBtype7";"INcross";"INpro";"INproT2";"INpear";"INZ";"MNpostv";"SN-NS22";"SN-NS5";"SN-NS17";"SN-YF5cil";"SN-NS19";"SN-NS20";"SN-NS6";"SN-NS29";"SN-NS27";"SN-NS18";"SN-NS16";"INbigloop";"SNadNS22";"Ser-tr1";"SNFVa";"INUturn";"INATOpyg";"INcomm-Upstairs";"INasc-pyg";"SNblunt";"INsplitBronto";"INleucoPU";"MNladder";"INdecussfoot";"INdecusshook";"INpreLadder";"INcomm-Upcross";"MNacic";"INsplitVent";"INcomm-DownL";"MNarm";"INlasso-postSN";"MNantacic";"MNpostacic";"SN-DLSO1.3";"MNakro";"MNchae";"MNgland-head";"SNstiff";"SNbronto";"INcommascFV";"SNpygM";"INR1";"SN-DLSO1.1NP";"SN-DLSO1.1";"INmus";"INdescLuqinPDF";"INcosplit";"INcommdescFVa";"MNheadV";"INsqNSasym";"INbiaxHmid";"MNantelope";"MNsmile";"INhorn";"INMBPDF";"INMBdescFMRF";"INDLSO";"SNtorii";"INexsn";"MBmouth";"SNtrpa";"INtorii";"INUturnMB";"INface";"INMBdesc3";"INMBdesc2";"INpara";"INMBtype9";"INMBtype2";"INdecussM";"INiaStiff";"INmantis";"INsplitSpin";"akrotroch";"crescentcell";"prototroch";"nuchalCiliaCilia";"metatroch";"paratroch";"spinGland";"covercell";"ciliatedGland";"eyespot-pigment-cell";"pigment-cell";"gland-pigment";"macrophage-like";"yolk-cover-cell cell";"flat-glia";"ECmidline";"MVGland";"microvillarCell";"protonephridium";"nephridium";"nephridiumTip";"chaeta";"acicula";"acFC-noER";"chaeFC-hemi";"chaeFC-ER";"chaeFC-noER";"chaeFC-EC";"HeadGland";"InterparaGland";"spinMicroGland";"CB-pigment";"vacuolar-cell-head";"Glia-pigmented";"pygidial-pigment-cell";"coelothelium";"MUSac-notA";"MUSac-notP";"MUSac-notM";"MUSac-neuAV";"MUSac-neuPD";"MUSac-neuPV";"MUSac-neuDy";"MUSac-neuDx";"MUSac-neuDach";"MUSac-neure";"MUSac-i";"MUSobA-re";"MUSobA-arc";"MUSobA-mpp";"MUSobA-mlpp";"MUSobA-lpp";"MUSobA-trans";"MUSobP-notD";"MUSobP-neuDlong";"MUSobP-neuDprox";"MUSobP-neuDdist";"MUSobP-neuV";"MUSobP-notV";"MUSobP-M";"MUSobP-noty";"MUSobP-i";"MUSchae-notDob";"MUSchae-notD";"MUSchae-notDn";"MUSchae-notA";"MUSchae-notAac";"MUSchae-notAre";"MUSchae-neuVob";"MUSchae-neuDac";"MUSchae-neuAVo";"MUSchae-neuAVt";"MUSchae-Are";"MUStrans";"MUSlongD";"MUSlongV";"MUSax";"MUSring-pyg";"MUSph";"MUSll";"MUSant";"MUSly";"MUSpl";"MUSci";"MUSch";"MUSpx";"MUSpr-vt";"MUStri";"MUSmed";"EC";"yolk";"meso 1592020"
"PRC";21;307;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"IN1";1;87;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"INton";0;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"INpreSer";0;0;0;1;0;1;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;7;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cPRC";0;0;0;1;0;64;41;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;37;0;1;0;0;2;0;26;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;66;16;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"INRGWa";4;0;0;0;0;17;0;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;1;0;0;0;0;0;3;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12;1;5;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;6;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"INNOS";0;0;0;0;0;92;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ser-h1";0;0;0;0;0;1;0;14;42;5;13;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;8;1;8;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;8;0;0;0;0;1;0;5;3;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;24;0;0;0;0;3;1;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"MC";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cMNPDF-vcl1";0;0;0;0;0;6;1;8;5;0;13;11;0;0;0;0;0;0;1;0;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;5;2;2;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;6;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;2;2;0;0;0;22;0;0;0;0;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
