presyn_cell,type_presyn,postsyn_cell,synapses,synapse_fraction
PRC,Sensory neuron,PRC,21,0.7241379310344828
PRC,Sensory neuron,IN1,307,0.7415458937198067
PRC,Sensory neuron,INton,1,0.0303030303030303
PRC,Sensory neuron,INbigloop,1,0.05555555555555555
PRC,Sensory neuron,INR1,8,0.27586206896551724
cPRC,Sensory neuron,SNnuchNS,1,0.04166666666666666
cPRC,Sensory neuron,SN-DLSO1.2,1,0.09090909090909093
cPRC,Sensory neuron,SN-DLSO2l,1,0.03333333333333333
cPRC,Sensory neuron,SN-ASTC,37,0.7551020408163265
cPRC,Sensory neuron,SN-DLSO3,1,0.09090909090909093
cPRC,Sensory neuron,SN-IRP2-FMRF,2,0.2857142857142857
cPRC,Sensory neuron,SN-MIP1,26,0.6341463414634146
cPRC,Sensory neuron,SN-WLD,1,0.0238095238095238
cPRC,Sensory neuron,SN-NS5,4,0.3636363636363637
cPRC,Sensory neuron,SN-NS19,66,0.9428571428571428
cPRC,Sensory neuron,SN-NS20,16,0.8
cPRC,Sensory neuron,SN-NS16,3,0.2727272727272727
cPRC,Sensory neuron,INpreSer,1,0.125
cPRC,Sensory neuron,INRGWa,64,0.2191780821917808
cPRC,Sensory neuron,INNOS,41,0.5942028985507246
cPRC,Sensory neuron,INarc2,1,0.01075268817204301
cPRC,Sensory neuron,INsplitPB-RF/Ya,1,0.05
SNnuchPDF,Sensory neuron,SNnuchPDF,37,0.36633663366336633
SNnuchPDF,Sensory neuron,SNnuchBx,2,0.2857142857142857
SNnuchPDF,Sensory neuron,SNPDF-dc,1,0.09090909090909093
SNnuchPDF,Sensory neuron,SN-DLSO2l,1,0.03333333333333333
SNnuchPDF,Sensory neuron,SN-ASTC,1,0.02040816326530612
SNnuchPDF,Sensory neuron,SN-DLSO3-PDF,2,0.10526315789473684
SNnuchPDF,Sensory neuron,SN-DLSO3,1,0.09090909090909093
SNnuchPDF,Sensory neuron,SNasym,3,0.3333333333333333
SNnuchPDF,Sensory neuron,SN-NS4,2,0.3333333333333333
SNnuchPDF,Sensory neuron,SN-NS20,1,0.05
SNnuchPDF,Sensory neuron,SN-NS29,1,0.5
SNnuchPDF,Sensory neuron,SN-DLSO1.1NP,1,0.03333333333333333
SNnuchPDF,Sensory neuron,INpreSer,1,0.125
SNnuchPDF,Sensory neuron,INRGWa,7,0.02397260273972602
SNnuchPDF,Sensory neuron,INNOS,1,0.0144927536231884
SNnuchPDF,Sensory neuron,cMNATO,3,0.05357142857142857
SNnuchPDF,Sensory neuron,INarc1,44,0.27672955974842767
SNnuchPDF,Sensory neuron,INarc2,44,0.4731182795698925
SNnuchPDF,Sensory neuron,INMBtype7,2,0.16666666666666666
SNnuchPDF,Sensory neuron,INZ,3,0.06666666666666667
SNnuchPDF,Sensory neuron,INbigloop,1,0.05555555555555555
SNnuchPDF,Sensory neuron,INasc-pyg,2,0.01204819277108433
SNnuchPDF,Sensory neuron,INsqNSasym,2,0.1
SNnuchPDF,Sensory neuron,INMBdescFMRF,3,0.2
SNnuchPDF,Sensory neuron,INDLSO,3,0.17647058823529413
SNnuchPDF,Sensory neuron,MNant,2,0.01015228426395939
SNnuchPDF,Sensory neuron,Ser-tr1,5,0.05
SNnuchNS,Sensory neuron,SNnuchNS,1,0.04166666666666666
SNnuchNS,Sensory neuron,SN-DLSO,1,0.0091743119266055
SNnuchNS,Sensory neuron,SN-WLD,5,0.11904761904761904
SNnuchNS,Sensory neuron,SN-YF5cil,3,0.13636363636363635
SNnuchNS,Sensory neuron,SN-DLSO1.3,1,0.08333333333333333
SNnuchNS,Sensory neuron,INRGWa,8,0.0273972602739726
SNnuchNS,Sensory neuron,INCrossbow,1,0.01204819277108433
SNnuchBx,Sensory neuron,SNnuchBx,2,0.2857142857142857
SNnuchBx,Sensory neuron,INbiax,9,0.2647058823529412
SNgolden,Sensory neuron,SNnuchPDF,1,0.0099009900990099
SNgolden,Sensory neuron,SNgolden,4,1
SNgolden,Sensory neuron,SNlasso,1,0.03225806451612903
SNgolden,Sensory neuron,SN-DLSO1.2-1,11,0.7333333333333333
SNgolden,Sensory neuron,SN-NS19,1,0.01428571428571428
SNgolden,Sensory neuron,SN-DLSO1.1NP,8,0.26666666666666666
SNgolden,Sensory neuron,INasc-pyg,1,0.00602409638554216
SNgolden,Sensory neuron,INDLSO,1,0.0588235294117647
SNgolden,Sensory neuron,MNgland-head,2,0.04651162790697674
SNhorn,Sensory neuron,SNantlerPDF,1,0.16666666666666666
SNhorn,Sensory neuron,hPUc1,1,0.1111111111111111
SNhorn,Sensory neuron,INhook,1,0.06666666666666667
SNhorn,Sensory neuron,INhorn,23,0.41818181818181815
SNhorn,Sensory neuron,INtorii,1,0.0303030303030303
SNhorn,Sensory neuron,INMBdesc2,1,0.0625
SNhorn,Sensory neuron,INiaStiff,1,0.05263157894736842
SNhorn,Sensory neuron,MNant,8,0.04060913705583756
SNhorn,Sensory neuron,MC3cover,1,0.00709219858156028
SNhook,Sensory neuron,SNlasso,1,0.03225806451612903
SNhook,Sensory neuron,MS3,1,0.16666666666666666
SNhook,Sensory neuron,SNaant,1,0.3333333333333333
SNhook,Sensory neuron,INMBtype6,1,0.07692307692307693
SNhook,Sensory neuron,INMBtype7,1,0.08333333333333333
SNhook,Sensory neuron,INpro,3,0.02054794520547945
SNhook,Sensory neuron,INZ,2,0.04444444444444444
SNhook,Sensory neuron,INbigloop,1,0.05555555555555555
SNhook,Sensory neuron,INdecussfoot,2,0.02985074626865671
SNhook,Sensory neuron,INdecusshook,14,0.2153846153846154
SNhook,Sensory neuron,INhorn,5,0.09090909090909093
SNhook,Sensory neuron,INtorii,1,0.0303030303030303
SNhook,Sensory neuron,INMBdesc3,1,0.1
SNhook,Sensory neuron,MNant,24,0.1218274111675127
SNlasso,Sensory neuron,SNMB2,1,0.07142857142857142
SNlasso,Sensory neuron,SN-DLSO3-PDF,4,0.21052631578947367
SNlasso,Sensory neuron,SN-DLSO1.1NP,1,0.03333333333333333
SNlasso,Sensory neuron,INRGWa,16,0.0547945205479452
SNlasso,Sensory neuron,INNOS,3,0.04347826086956521
SNlasso,Sensory neuron,INdc,4,0.16
SNlasso,Sensory neuron,INW,11,0.11827956989247312
SNlasso,Sensory neuron,INZ,1,0.02222222222222222
SNlasso,Sensory neuron,INlasso-postSN,22,0.6666666666666666
SNlasso,Sensory neuron,INdescLuqinPDF,1,0.02127659574468085
SNlasso,Sensory neuron,INsqNSasym,1,0.05
SNlasso,Sensory neuron,INMBdescFMRF,1,0.06666666666666667
SNlasso,Sensory neuron,INDLSO,1,0.0588235294117647
SNlasso,Sensory neuron,INUturnMB,6,0.14285714285714285
SNlasso,Sensory neuron,MNant,6,0.03045685279187817
SNlasso,Sensory neuron,Ser-tr1,1,0.01
SNlasso,Sensory neuron,MNgland-head,1,0.02325581395348837
SNMIP-vc,Sensory neuron,SNMIP-vc,2,0.13333333333333333
SNMIP-vc,Sensory neuron,SNantlerPDF,1,0.16666666666666666
SNMIP-vc,Sensory neuron,MS1,1,0.06666666666666667
SNMIP-vc,Sensory neuron,MS3,1,0.16666666666666666
SNMIP-vc,Sensory neuron,INdecussPre,1,0.02325581395348837
SNMIP-vc,Sensory neuron,INCrossbow,5,0.06024096385542168
SNMIP-vc,Sensory neuron,INarc1,7,0.0440251572327044
SNMIP-vc,Sensory neuron,INpear,2,0.2222222222222222
SNMIP-vc,Sensory neuron,INsqNSasym,4,0.2
SNMIP-vc,Sensory neuron,INUturnMB,1,0.0238095238095238
SNMIP-vc,Sensory neuron,INiaStiff,2,0.10526315789473684
