"skid"	"annotation"	"id"	"uid"
"1"	6496	"fragmentum"	2069834	11
"2"	6496	"yyx"	1883308	13
"3"	21156	"connectome_old"	2447951	11
"4"	21156	"fragmentum"	2069834	11
"5"	21156	"yyx"	1883308	13
"6"	31790	"fragmentum"	2069834	11
"7"	31790	"yyx"	1883308	13
"8"	37167	"fragmentum"	2069834	11
"9"	37167	"yyx"	1883308	13
"10"	37167	"piece_eyecircuit"	662029	10
"11"	37425	"fragmentum"	2069834	11
"12"	37425	"yyx"	1883308	13
"13"	37425	"piece_eyecircuit"	662029	10
"14"	45598	"fragmentum"	2069834	11
"15"	45598	"yyx"	1883308	13
"16"	45598	"piece_eyecircuit"	662029	10
"17"	49080	"fragmentum"	2069834	11
"18"	49080	"yyx"	1883308	13
"19"	49085	"fragmentum"	2069834	11
"20"	49085	"yyx"	1883308	13
"21"	50328	"fragmentum"	2069834	11
"22"	50328	"yyx"	1883308	13
"23"	50676	"fragmentum"	2069834	11
"24"	50676	"yyx"	1883308	13
"25"	51738	"fragmentum"	2069834	11
"26"	51738	"yyx"	1883308	13
"27"	56165	"fragmentum"	2069834	11
"28"	56165	"yyx"	1883308	13
"29"	57870	"fragmentum"	2069834	11
"30"	57870	"yyx"	1883308	13
"31"	63952	"connectome_frag"	2454845	11
"32"	63952	"connectome"	2450493	11
"33"	63952	"connectome_old"	2447951	11
"34"	63952	"fragmentum"	2069834	11
"35"	63952	"yyx"	1883308	13
"36"	63952	"probable_MNfragments"	1306338	15
"37"	67367	"fragmentum"	2069834	11
"38"	67367	"yyx"	1883308	13
"39"	70682	"fragmentum"	2069834	11
"40"	70694	"fragmentum"	2069834	11
"41"	71318	"fragmentum"	2069834	11
"42"	71916	"connectome_old"	2447951	11
"43"	71916	"fragmentum"	2069834	11
"44"	71916	"yyx"	1883308	13
"45"	75432	"fragmentum"	2069834	11
"46"	75432	"yyx"	1883308	13
"47"	75450	"fragmentum"	2069834	11
"48"	75450	"yyx"	1883308	13
"49"	77232	"fragmentum"	2069834	11
"50"	77232	"yyx"	1883308	13
"51"	89326	"all_central_visualisation"	2179559	13
"52"	89326	"fragmentum"	2069834	11
"53"	89326	"yyx"	1883308	13
"54"	91501	"fragmentum"	2069834	11
"55"	91501	"yyx"	1883308	13
"56"	91612	"fragmentum"	2069834	11
"57"	91612	"yyx"	1883308	13
"58"	94626	"fragmentum"	2069834	11
"59"	94626	"yyx"	1883308	13
"60"	94631	"fragmentum"	2069834	11
"61"	94631	"yyx"	1883308	13
"62"	94636	"fragmentum"	2069834	11
"63"	94636	"yyx"	1883308	13
"64"	98640	"fragmentum"	2069834	11
"65"	98640	"yyx"	1883308	13
"66"	101128	"fragmentum"	2069834	11
"67"	101128	"yyx"	1883308	13
"68"	106834	"fragmentum"	2069834	11
"69"	106834	"fragment"	2029624	11
"70"	108877	"connectome_old"	2447951	11
"71"	108877	"fragmentum"	2069834	11
"72"	108877	"yyx"	1883308	13
"73"	109468	"fragmentum"	2069834	11
"74"	109468	"yyx"	1883308	13
"75"	109495	"fragmentum"	2069834	11
"76"	109495	"yyx"	1883308	13
"77"	110442	"connectome_old"	2447951	11
"78"	110442	"fragmentum"	2069834	11
"79"	110442	"fragment"	2029624	11
"80"	110879	"fragmentum"	2069834	11
"81"	110879	"yyx"	1883308	13
"82"	110917	"fragmentum"	2069834	11
"83"	110917	"yyx"	1883308	13
"84"	110952	"fragmentum"	2069834	11
"85"	110952	"yyx"	1883308	13
"86"	111011	"fragmentum"	2069834	11
"87"	111011	"yyx"	1883308	13
"88"	111026	"fragmentum"	2069834	11
"89"	111026	"yyx"	1883308	13
"90"	111051	"fragmentum"	2069834	11
"91"	111051	"yyx"	1883308	13
"92"	111056	"fragmentum"	2069834	11
"93"	111056	"yyx"	1883308	13
"94"	111066	"fragmentum"	2069834	11
"95"	111066	"yyx"	1883308	13
"96"	111086	"fragmentum"	2069834	11
"97"	111086	"yyx"	1883308	13
"98"	111096	"fragmentum"	2069834	11
"99"	111096	"yyx"	1883308	13
"100"	111121	"fragmentum"	2069834	11
"101"	111121	"yyx"	1883308	13
"102"	111131	"fragmentum"	2069834	11
"103"	111131	"yyx"	1883308	13
"104"	111136	"fragmentum"	2069834	11
"105"	111136	"yyx"	1883308	13
"106"	111151	"fragmentum"	2069834	11
"107"	111151	"yyx"	1883308	13
"108"	111171	"fragmentum"	2069834	11
"109"	111171	"yyx"	1883308	13
"110"	111176	"fragmentum"	2069834	11
"111"	111176	"yyx"	1883308	13
"112"	111181	"fragmentum"	2069834	11
"113"	111181	"yyx"	1883308	13
"114"	111201	"fragmentum"	2069834	11
"115"	111201	"yyx"	1883308	13
"116"	111221	"fragmentum"	2069834	11
"117"	111221	"yyx"	1883308	13
"118"	111236	"fragmentum"	2069834	11
"119"	111236	"yyx"	1883308	13
"120"	111246	"fragmentum"	2069834	11
"121"	111246	"yyx"	1883308	13
"122"	111256	"fragmentum"	2069834	11
"123"	111256	"yyx"	1883308	13
"124"	111261	"fragmentum"	2069834	11
"125"	111261	"yyx"	1883308	13
"126"	111278	"fragmentum"	2069834	11
"127"	111278	"yyx"	1883308	13
"128"	111310	"fragmentum"	2069834	11
"129"	111310	"yyx"	1883308	13
"130"	111349	"fragmentum"	2069834	11
"131"	111349	"yyx"	1883308	13
"132"	111374	"fragmentum"	2069834	11
"133"	111374	"yyx"	1883308	13
"134"	111409	"fragmentum"	2069834	11
"135"	111409	"yyx"	1883308	13
"136"	111436	"fragmentum"	2069834	11
"137"	111436	"yyx"	1883308	13
"138"	111495	"fragmentum"	2069834	11
"139"	111495	"yyx"	1883308	13
"140"	111501	"fragmentum"	2069834	11
"141"	111501	"yyx"	1883308	13
"142"	111585	"fragmentum"	2069834	11
"143"	111585	"yyx"	1883308	13
"144"	111634	"fragmentum"	2069834	11
"145"	111634	"yyx"	1883308	13
"146"	111674	"connectome_frag"	2454845	11
"147"	111674	"connectome"	2450493	11
"148"	111674	"fragmentum"	2069834	11
"149"	111674	"fragment"	2029624	11
"150"	111674	"dense cored vesicles"	1224657	13
"151"	111689	"fragmentum"	2069834	11
"152"	111689	"yyx"	1883308	13
"153"	111738	"fragmentum"	2069834	11
"154"	111738	"yyx"	1883308	13
"155"	111753	"fragmentum"	2069834	11
"156"	111753	"yyx"	1883308	13
"157"	111773	"fragmentum"	2069834	11
"158"	111773	"yyx"	1883308	13
"159"	111778	"fragmentum"	2069834	11
"160"	111778	"yyx"	1883308	13
"161"	111783	"fragmentum"	2069834	11
"162"	111783	"yyx"	1883308	13
"163"	111788	"fragmentum"	2069834	11
"164"	111788	"yyx"	1883308	13
"165"	111793	"fragmentum"	2069834	11
"166"	111793	"yyx"	1883308	13
"167"	111798	"fragmentum"	2069834	11
"168"	111798	"yyx"	1883308	13
"169"	111803	"fragmentum"	2069834	11
"170"	111803	"yyx"	1883308	13
"171"	111808	"fragmentum"	2069834	11
"172"	111808	"yyx"	1883308	13
"173"	111818	"fragmentum"	2069834	11
"174"	111818	"yyx"	1883308	13
"175"	111833	"fragmentum"	2069834	11
"176"	111833	"yyx"	1883308	13
"177"	111853	"fragmentum"	2069834	11
"178"	111853	"yyx"	1883308	13
"179"	111858	"fragmentum"	2069834	11
"180"	111858	"yyx"	1883308	13
"181"	111863	"fragmentum"	2069834	11
"182"	111863	"yyx"	1883308	13
"183"	111868	"fragmentum"	2069834	11
"184"	111868	"yyx"	1883308	13
"185"	111873	"fragmentum"	2069834	11
"186"	111873	"yyx"	1883308	13
"187"	111878	"fragmentum"	2069834	11
"188"	111878	"yyx"	1883308	13
"189"	111883	"fragmentum"	2069834	11
"190"	111883	"yyx"	1883308	13
"191"	111888	"fragmentum"	2069834	11
"192"	111888	"yyx"	1883308	13
"193"	111893	"fragmentum"	2069834	11
"194"	111893	"yyx"	1883308	13
"195"	111898	"fragmentum"	2069834	11
"196"	111898	"yyx"	1883308	13
"197"	111903	"fragmentum"	2069834	11
"198"	111903	"yyx"	1883308	13
"199"	111908	"fragmentum"	2069834	11
"200"	111908	"yyx"	1883308	13
"201"	111913	"fragmentum"	2069834	11
"202"	111913	"yyx"	1883308	13
"203"	111918	"fragmentum"	2069834	11
"204"	111918	"yyx"	1883308	13
"205"	111923	"fragmentum"	2069834	11
"206"	111923	"yyx"	1883308	13
"207"	111938	"fragmentum"	2069834	11
"208"	111938	"yyx"	1883308	13
"209"	111958	"fragmentum"	2069834	11
"210"	111958	"yyx"	1883308	13
"211"	111963	"fragmentum"	2069834	11
"212"	111963	"yyx"	1883308	13
"213"	111968	"fragmentum"	2069834	11
"214"	111968	"yyx"	1883308	13
"215"	111983	"fragmentum"	2069834	11
"216"	111983	"yyx"	1883308	13
"217"	111993	"fragmentum"	2069834	11
"218"	111993	"yyx"	1883308	13
"219"	111998	"fragmentum"	2069834	11
"220"	111998	"yyx"	1883308	13
"221"	112003	"fragmentum"	2069834	11
"222"	112003	"yyx"	1883308	13
"223"	112008	"fragmentum"	2069834	11
"224"	112008	"yyx"	1883308	13
"225"	112013	"fragmentum"	2069834	11
"226"	112013	"yyx"	1883308	13
"227"	112018	"fragmentum"	2069834	11
"228"	112018	"yyx"	1883308	13
"229"	112038	"fragmentum"	2069834	11
"230"	112038	"yyx"	1883308	13
"231"	112043	"fragmentum"	2069834	11
"232"	112043	"yyx"	1883308	13
"233"	112048	"fragmentum"	2069834	11
"234"	112048	"yyx"	1883308	13
"235"	112053	"fragmentum"	2069834	11
"236"	112053	"yyx"	1883308	13
"237"	112063	"fragmentum"	2069834	11
"238"	112063	"yyx"	1883308	13
"239"	112073	"fragmentum"	2069834	11
"240"	112073	"yyx"	1883308	13
"241"	112078	"fragmentum"	2069834	11
"242"	112078	"yyx"	1883308	13
"243"	112083	"fragmentum"	2069834	11
"244"	112083	"yyx"	1883308	13
"245"	112088	"fragmentum"	2069834	11
"246"	112088	"yyx"	1883308	13
"247"	112103	"fragmentum"	2069834	11
"248"	112103	"yyx"	1883308	13
"249"	112108	"fragmentum"	2069834	11
"250"	112108	"yyx"	1883308	13
"251"	112118	"fragmentum"	2069834	11
"252"	112118	"yyx"	1883308	13
"253"	112178	"fragmentum"	2069834	11
"254"	112178	"yyx"	1883308	13
"255"	113130	"fragmentum"	2069834	11
"256"	113130	"yyx"	1883308	13
"257"	117895	"fragmentum"	2069834	11
"258"	117895	"yyx"	1883308	13
"259"	118885	"fragmentum"	2069834	11
"260"	118885	"yyx"	1883308	13
"261"	119195	"fragmentum"	2069834	11
"262"	119195	"yyx"	1883308	13
"263"	119551	"connectome_old"	2447951	11
"264"	119551	"all_central_visualisation"	2179559	13
"265"	119551	"fragmentum"	2069834	11
"266"	119551	"fragment"	2029624	11
