"skid"	"partner"	"syn.count"	"num_nodes"	"connection_type"	"skeleton"
"1"	359783	228289	56	10318	"postsynapse"	"with_soma"
"2"	219569	228289	50	10318	"postsynapse"	"with_soma"
"3"	1333515	1333529	47	7537	"postsynapse"	"with_soma"
"4"	774258	1277759	45	12205	"postsynapse"	"with_soma"
"5"	1282998	1277759	43	12205	"postsynapse"	"with_soma"
"6"	140828	16719	41	1640	"postsynapse"	"with_soma"
"7"	64258	1737105	38	1795	"postsynapse"	"with_soma"
"8"	60061	113999	36	9176	"postsynapse"	"with_soma"
"9"	1333597	1333529	32	7537	"postsynapse"	"with_soma"
"10"	1294978	228289	31	10318	"postsynapse"	"with_soma"
"11"	184848	344239	30	6819	"postsynapse"	"with_soma"
"12"	1333656	1333311	30	8418	"postsynapse"	"with_soma"
"13"	1333311	1731014	30	4150	"postsynapse"	"with_soma"
"14"	108826	16719	29	1640	"postsynapse"	"with_soma"
"15"	175367	60061	27	6105	"postsynapse"	"with_soma"
"16"	1282984	228289	27	10318	"postsynapse"	"with_soma"
"17"	359142	1737105	26	1795	"postsynapse"	"with_soma"
"18"	992355	1274799	26	22170	"postsynapse"	"with_soma"
"19"	1400756	1383986	26	3297	"postsynapse"	"with_soma"
"20"	587391	108826	26	6586	"postsynapse"	"with_soma"
"21"	1590675	1239327	26	5412	"postsynapse"	"with_soma"
"22"	575319	1294986	25	18778	"postsynapse"	"with_soma"
"23"	180202	60061	25	6105	"postsynapse"	"with_soma"
"24"	577621	826675	25	6056	"postsynapse"	"with_soma"
"25"	201048	1277759	25	12205	"postsynapse"	"with_soma"
"26"	108826	1737105	24	1795	"postsynapse"	"with_soma"
"27"	992365	1274799	24	22170	"postsynapse"	"with_soma"
"28"	208456	60061	24	6105	"postsynapse"	"with_soma"
"29"	212664	60061	24	6105	"postsynapse"	"with_soma"
"30"	32142	25010	23	1109	"postsynapse"	"with_soma"
"31"	140828	1737105	23	1795	"postsynapse"	"with_soma"
"32"	202807	60061	23	6105	"postsynapse"	"with_soma"
"33"	201048	228289	23	10318	"postsynapse"	"with_soma"
"34"	1545349	1383986	23	3297	"postsynapse"	"with_soma"
"35"	1598752	1829214	23	1865	"postsynapse"	"with_soma"
"36"	992087	1274799	22	22170	"postsynapse"	"with_soma"
"37"	1298426	1312678	22	2177	"postsynapse"	"with_soma"
"38"	1282998	144261	21	7614	"postsynapse"	"with_soma"
"39"	1574394	907055	21	3463	"postsynapse"	"with_soma"
"40"	32142	23921	20	906	"postsynapse"	"with_soma"
"41"	37580	7501	20	977	"postsynapse"	"with_soma"
"42"	284315	1292932	20	3146	"postsynapse"	"with_soma"
"43"	1312678	2015233	20	2317	"postsynapse"	"with_soma"
"44"	1285069	1072496	20	3155	"postsynapse"	"with_soma"
"45"	108826	1732111	20	8896	"postsynapse"	"with_soma"
"46"	1462261	359142	20	6745	"postsynapse"	"with_soma"
"47"	992087	140828	20	6954	"postsynapse"	"with_soma"
"48"	1282992	261398	20	9345	"postsynapse"	"with_soma"
"49"	206767	60061	19	6105	"postsynapse"	"with_soma"
"50"	212664	1732111	19	8896	"postsynapse"	"with_soma"
"51"	344239	1732111	19	8896	"postsynapse"	"with_soma"
"52"	1452348	344239	19	6819	"postsynapse"	"with_soma"
"53"	273055	144261	19	7614	"postsynapse"	"with_soma"
"54"	1569660	1443411	19	2629	"postsynapse"	"with_soma"
"55"	1633569	1348484	19	3683	"postsynapse"	"with_soma"
"56"	1732448	1113404	19	1342	"postsynapse"	"with_soma"
"57"	1355372	1276909	18	1262	"postsynapse"	"with_soma"
"58"	188036	1280027	18	19315	"postsynapse"	"with_soma"
"59"	1312678	2015119	18	2510	"postsynapse"	"with_soma"
"60"	1298402	1274799	18	22170	"postsynapse"	"with_soma"
"61"	188036	60061	18	6105	"postsynapse"	"with_soma"
"62"	198277	60061	18	6105	"postsynapse"	"with_soma"
"63"	188036	57341	18	1207	"postsynapse"	"with_soma"
"64"	1732111	64258	18	3479	"postsynapse"	"with_soma"
"65"	1486591	1447037	18	3448	"postsynapse"	"with_soma"
"66"	37580	10536	17	755	"postsynapse"	"with_soma"
"67"	37580	6743	17	876	"postsynapse"	"with_soma"
"68"	32142	26163	17	815	"postsynapse"	"with_soma"
"69"	577621	1294986	17	18778	"postsynapse"	"with_soma"
"70"	1739384	2000850	17	2100	"postsynapse"	"with_soma"
"71"	101233	60061	17	6105	"postsynapse"	"with_soma"
"72"	184848	60061	17	6105	"postsynapse"	"with_soma"
"73"	204577	60061	17	6105	"postsynapse"	"with_soma"
"74"	140828	64258	17	3479	"postsynapse"	"with_soma"
"75"	1113608	1285069	17	9062	"postsynapse"	"with_soma"
"76"	1294966	144261	17	7614	"postsynapse"	"with_soma"
"77"	1488194	1443411	17	2629	"postsynapse"	"with_soma"
"78"	1592906	1850777	17	1994	"postsynapse"	"with_soma"
"79"	34044	32142	16	3009	"postsynapse"	"with_soma"
"80"	1299789	1280027	16	19315	"postsynapse"	"with_soma"
"81"	1613646	1688689	16	2232	"postsynapse"	"with_soma"
"82"	1273022	987008	16	4801	"postsynapse"	"with_soma"
"83"	184848	57341	16	1207	"postsynapse"	"with_soma"
"84"	1302189	269876	16	1621	"postsynapse"	"with_soma"
"85"	768031	228289	16	10318	"postsynapse"	"with_soma"
"86"	1294978	1277759	16	12205	"postsynapse"	"with_soma"
"87"	1312678	2015241	16	2114	"postsynapse"	"with_soma"
"88"	1732095	2033694	16	1899	"postsynapse"	"with_soma"
"89"	992355	1298426	15	21841	"postsynapse"	"with_soma"
"90"	940016	1274799	15	22170	"postsynapse"	"with_soma"
"91"	1732111	1072496	15	3155	"postsynapse"	"with_soma"
"92"	180953	60061	15	6105	"postsynapse"	"with_soma"
"93"	186240	60061	15	6105	"postsynapse"	"with_soma"
"94"	1333529	1609864	15	3431	"postsynapse"	"with_soma"
"95"	171166	1341740	15	2082	"postsynapse"	"with_soma"
"96"	172769	1349386	15	1532	"postsynapse"	"with_soma"
"97"	1333136	1333311	15	8418	"postsynapse"	"with_soma"
"98"	1333316	1333311	15	8418	"postsynapse"	"with_soma"
"99"	1305492	386671	15	4440	"postsynapse"	"with_soma"
