"neuron"	"nm"	"synapses"	"neuron_type"	"synapse_type"	"mean"
"1"	"INdesc_l 106879"	4000	0	"descending"	"post"	0.0149253731343284
"2"	"INdesc_l 106879"	5000	0	"descending"	"post"	0.0597014925373134
"3"	"INdesc_l 106879"	6000	0	"descending"	"post"	0.0746268656716418
"4"	"INdesc_l 106879"	7000	0	"descending"	"post"	0.119402985074627
"5"	"INdesc_l 106879"	8000	1	"descending"	"post"	0.0895522388059701
"6"	"INdesc_l 106879"	9000	0	"descending"	"post"	0.104477611940299
"7"	"INdesc_l 106879"	10000	1	"descending"	"post"	0.149253731343284
"8"	"INdesc_l 106879"	11000	1	"descending"	"post"	0.149253731343284
"9"	"INdesc_l 106879"	12000	0	"descending"	"post"	0.194029850746269
"10"	"INdesc_l 106879"	13000	0	"descending"	"post"	0.164179104477612
"11"	"INdesc_l 106879"	14000	0	"descending"	"post"	0.17910447761194
"12"	"INdesc_l 106879"	15000	0	"descending"	"post"	0.134328358208955
"13"	"INdesc_l 106879"	16000	0	"descending"	"post"	0.223880597014925
"14"	"INdesc_l 106879"	17000	0	"descending"	"post"	0.194029850746269
"15"	"INdesc_l 106879"	18000	0	"descending"	"post"	0.238805970149254
"16"	"INdesc_l 106879"	19000	0	"descending"	"post"	0.238805970149254
"17"	"INdesc_l 106879"	20000	0	"descending"	"post"	0.26865671641791
"18"	"INdesc_l 106879"	21000	0	"descending"	"post"	0.17910447761194
"19"	"INdesc_l 106879"	22000	0	"descending"	"post"	0.298507462686567
"20"	"INdesc_l 106879"	23000	0	"descending"	"post"	0.388059701492537
"21"	"INdesc_l 106879"	24000	0	"descending"	"post"	0.328358208955224
"22"	"INdesc_l 106879"	25000	0	"descending"	"post"	0.432835820895522
"23"	"INdesc_l 106879"	26000	0	"descending"	"post"	0.417910447761194
"24"	"INdesc_l 106879"	27000	0	"descending"	"post"	0.194029850746269
"25"	"INdesc_l 106879"	28000	0	"descending"	"post"	0.283582089552239
"26"	"INdesc_l 106879"	29000	0	"descending"	"post"	0.238805970149254
"27"	"INdesc_l 106879"	30000	0	"descending"	"post"	0.238805970149254
"28"	"INdesc_l 106879"	31000	1	"descending"	"post"	0.17910447761194
"29"	"INdesc_l 106879"	32000	1	"descending"	"post"	0.223880597014925
"30"	"INdesc_l 106879"	33000	0	"descending"	"post"	0.149253731343284
"31"	"INdesc_l 106879"	34000	0	"descending"	"post"	0.194029850746269
"32"	"INdesc_l 106879"	35000	0	"descending"	"post"	0.164179104477612
"33"	"INdesc_l 106879"	36000	0	"descending"	"post"	0.149253731343284
"34"	"INdesc_l 106879"	37000	0	"descending"	"post"	0.208955223880597
"35"	"INdesc_l 106879"	38000	0	"descending"	"post"	0.119402985074627
"36"	"INdesc_l 106879"	39000	0	"descending"	"post"	0.208955223880597
"37"	"INdesc_l 106879"	40000	0	"descending"	"post"	0.104477611940299
"38"	"INdesc_l 106879"	41000	0	"descending"	"post"	0.134328358208955
"39"	"INdesc_l 106879"	42000	0	"descending"	"post"	0.134328358208955
"40"	"INdesc_l 106879"	43000	0	"descending"	"post"	0.149253731343284
"41"	"INdesc_l 106879"	44000	0	"descending"	"post"	0.0746268656716418
"42"	"INdesc_l 106879"	45000	0	"descending"	"post"	0.149253731343284
"43"	"INdesc_l 106879"	46000	0	"descending"	"post"	0.0447761194029851
"44"	"INdesc_l 106879"	47000	0	"descending"	"post"	0.0895522388059701
"45"	"INdesc_l 106879"	48000	0	"descending"	"post"	0.0298507462686567
"46"	"INdesc_l 106879"	49000	0	"descending"	"post"	0.0895522388059701
"47"	"INdesc_l 106879"	50000	0	"descending"	"post"	0.194029850746269
"48"	"INdesc_l 106879"	51000	0	"descending"	"post"	0.119402985074627
"49"	"INdesc_l 106879"	52000	0	"descending"	"post"	0.149253731343284
"50"	"INdesc_l 106879"	53000	0	"descending"	"post"	0.0597014925373134
"51"	"INdesc_l 106879"	54000	0	"descending"	"post"	0.194029850746269
"52"	"INdesc_l 106879"	55000	0	"descending"	"post"	0.149253731343284
"53"	"INdesc_l 106879"	56000	0	"descending"	"post"	0.0895522388059701
"54"	"INdesc_l 106879"	57000	0	"descending"	"post"	0.0597014925373134
"55"	"INdesc_l 106879"	58000	0	"descending"	"post"	0.119402985074627
"56"	"INdesc_l 106879"	59000	0	"descending"	"post"	0.0895522388059701
"57"	"INdesc_l 106879"	60000	0	"descending"	"post"	0.208955223880597
"58"	"INdesc_l 106879"	61000	0	"descending"	"post"	0.149253731343284
"59"	"INdesc_l 106879"	62000	0	"descending"	"post"	0.104477611940299
"60"	"INdesc_l 106879"	63000	0	"descending"	"post"	0.149253731343284
"61"	"INdesc_l 106879"	64000	0	"descending"	"post"	0.0895522388059701
