"pre_skid"	"names"	"presyn_class"	"postsyn_class"	"num_occurrences"	"presyn_color"	"num_class_target"
"1"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"2"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"3"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"4"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"5"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"6"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"7"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"8"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"9"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"10"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"11"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"12"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"13"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"14"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"15"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"16"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"17"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"18"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"19"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"20"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"21"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"22"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"23"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"24"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"25"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"26"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"27"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"28"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"29"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"30"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"31"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"32"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"33"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"34"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"35"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"36"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"37"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"38"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"39"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"40"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"41"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"42"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"43"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"44"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"45"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"46"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"47"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"48"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"49"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"50"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"51"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"52"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"53"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"54"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"55"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"56"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"57"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"58"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"59"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"60"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"61"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"62"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"63"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"64"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"65"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"66"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"67"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"68"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"69"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"70"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"71"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"72"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"73"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"74"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"75"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"76"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"77"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"78"	228289	"cioMNcover_r"	"MN"	"n.a."	227	"#0072B2"	1
"79"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"80"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"81"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"82"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"83"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"84"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"85"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"86"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"87"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"88"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"89"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"90"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"91"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"92"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"93"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"94"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"95"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"96"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"97"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"98"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"99"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"100"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"101"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"102"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"103"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"104"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"105"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"106"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"107"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"108"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"109"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"110"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"111"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"112"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"113"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"114"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"115"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"116"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"117"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"118"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"119"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"120"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"121"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"122"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"123"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"124"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"125"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"126"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"127"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"128"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"129"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"130"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"131"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"132"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"133"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"134"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"135"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"136"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"137"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"138"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"139"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"140"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"141"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"142"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"143"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"144"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"145"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"146"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"147"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"148"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"149"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"150"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"151"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"152"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"153"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"154"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"155"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"156"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"157"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
