"SN-head"	"IN-head"	"MN-head"	"eff-head"	"SN-sg0"	"IN-sg0"	"MN-sg0"	"eff-sg0"	"SN-sg1"	"IN-sg1"	"MN-sg1"	"eff-sg1"	"SN-sg2"	"IN-sg2"	"MN-sg2"	"eff-sg2"	"SN-sg3"	"IN-sg3"	"MN-sg3"	"eff-sg3"	"SN-pyg"	"IN-pyg"	"MN-pyg"	"eff-pyg"
"SN-head"	994	1547	423	83	3	34	0	2	65	287	74	3	10	92	15	2	0	10	0	0	9	14	0	0
"IN-head"	197	2024	550	115	12	16	0	2	18	235	199	12	6	128	107	10	2	67	64	5	36	11	3	0
"MN-head"	8	124	157	623	4	0	0	116	2	51	37	193	4	22	12	157	2	48	4	124	12	10	1	0
"eff-head"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"SN-sg0"	5	19	1	0	2	0	0	1	0	13	0	0	0	5	0	1	0	2	0	0	0	0	0	0
"IN-sg0"	5	20	9	0	1	2	0	0	0	11	6	0	0	3	0	0	0	0	0	0	0	1	0	0
"MN-sg0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"eff-sg0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SN-sg1"	26	14	71	0	1	0	0	0	18	155	26	2	22	137	29	0	1	14	6	0	1	7	0	0
"IN-sg1"	83	190	64	1	9	6	0	3	18	260	169	4	9	251	165	9	7	106	60	0	34	42	1	0
"MN-sg1"	9	32	38	303	0	2	0	132	1	38	88	433	2	25	34	327	3	14	5	278	3	3	0	7
"eff-sg1"	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"SN-sg2"	4	6	0	0	0	1	0	0	12	52	31	0	37	223	78	10	8	44	18	0	5	24	0	0
"IN-sg2"	29	62	9	1	0	0	0	0	25	196	145	2	33	441	254	15	23	207	82	0	50	51	2	0
"MN-sg2"	5	12	5	2	0	2	0	25	6	56	58	248	14	49	100	592	9	18	31	123	0	0	0	1
"eff-sg2"	0	5	1	0	0	0	0	0	0	6	6	0	3	12	1	0	2	4	1	0	0	0	0	0
"SN-sg3"	0	3	6	0	0	0	0	0	1	35	20	0	6	82	28	6	91	182	41	8	20	42	0	0
"IN-sg3"	2	33	7	0	0	3	0	0	0	47	48	3	8	104	83	10	23	194	96	2	54	35	4	10
"MN-sg3"	0	4	5	0	0	0	0	0	2	3	11	1	5	4	13	146	4	28	85	539	0	1	1	20
"eff-sg3"	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
"SN-pyg"	6	63	37	61	12	2	0	2	2	76	13	1	6	105	13	3	13	161	18	2	168	46	4	8
"IN-pyg"	37	18	10	0	0	1	0	0	0	51	36	0	1	23	13	2	2	31	8	0	14	21	1	0
"MN-pyg"	1	0	0	514	0	0	0	0	1	0	2	0	0	3	0	2	0	2	1	15	2	0	4	13
"eff-pyg"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
