source,target,value,source_class,target_class,sourcesegment,targetsegment,source_name
9,3,1,IN,effector,sg1,head,
13,3,1,IN,effector,sg2,head,
20,3,61,SN,effector,pygidium,head,
14,3,2,MN,effector,sg2,head,
1,3,115,IN,effector,head,head,
22,3,514,MN,effector,pygidium,head,
0,3,83,SN,effector,head,head,
2,3,623,MN,effector,head,head,
10,3,303,MN,effector,sg1,head,
10,23,7,MN,effector,sg1,pygidium,
14,23,1,MN,effector,sg2,pygidium,
22,23,13,MN,effector,pygidium,pygidium,
18,23,20,MN,effector,sg3,pygidium,
20,23,8,SN,effector,pygidium,pygidium,
17,23,10,IN,effector,sg3,pygidium,
14,7,25,MN,effector,sg2,sg0,
2,7,116,MN,effector,head,sg0,
20,7,2,SN,effector,pygidium,sg0,
10,7,132,MN,effector,sg1,sg0,
1,7,2,IN,effector,head,sg0,
9,7,3,IN,effector,sg1,sg0,
4,7,1,SN,effector,sg0,sg0,
0,7,2,SN,effector,head,sg0,
9,11,4,IN,effector,sg1,sg1,
1,11,12,IN,effector,head,sg1,
17,11,3,IN,effector,sg3,sg1,
14,11,248,MN,effector,sg2,sg1,
0,11,3,SN,effector,head,sg1,
11,11,1,effector,effector,sg1,sg1,
18,11,1,MN,effector,sg3,sg1,
2,11,193,MN,effector,head,sg1,
8,11,2,SN,effector,sg1,sg1,
10,11,433,MN,effector,sg1,sg1,
20,11,1,SN,effector,pygidium,sg1,
13,11,2,IN,effector,sg2,sg1,
10,15,327,MN,effector,sg1,sg2,
2,15,157,MN,effector,head,sg2,
1,15,10,IN,effector,head,sg2,
9,15,9,IN,effector,sg1,sg2,
0,15,2,SN,effector,head,sg2,
12,15,10,SN,effector,sg2,sg2,
4,15,1,SN,effector,sg0,sg2,
14,15,592,MN,effector,sg2,sg2,
17,15,10,IN,effector,sg3,sg2,
16,15,6,SN,effector,sg3,sg2,
18,15,146,MN,effector,sg3,sg2,
20,15,3,SN,effector,pygidium,sg2,
13,15,15,IN,effector,sg2,sg2,
22,15,2,MN,effector,pygidium,sg2,
21,15,2,IN,effector,pygidium,sg2,
1,19,5,IN,effector,head,sg3,
10,19,278,MN,effector,sg1,sg3,
22,19,15,MN,effector,pygidium,sg3,
17,19,2,IN,effector,sg3,sg3,
18,19,539,MN,effector,sg3,sg3,
20,19,2,SN,effector,pygidium,sg3,
2,19,124,MN,effector,head,sg3,
14,19,123,MN,effector,sg2,sg3,
16,19,8,SN,effector,sg3,sg3,
3,1,1,effector,IN,head,head,
15,1,5,effector,IN,sg2,head,
11,1,1,effector,IN,sg1,head,
14,1,12,MN,IN,sg2,head,
1,1,2024,IN,IN,head,head,
8,1,14,SN,IN,sg1,head,
13,1,62,IN,IN,sg2,head,
9,1,190,IN,IN,sg1,head,
