"","MC3cover (sg1)","covercell_MC3target","MNladder (sg1)","MNladder_mus","MNsmile (sg1)","MNsmile_mus","INsplitBronto (sg1)","INsplitPB_RF_Ya (sg1)","INsplitPBant (sg1)","INCM (sg1)","INcomm_DownL (sg1)","INleucoPU (sg1)","SNblunt","SNbronto","INMC3","headCR","MNant","INrope","INpreLadderATO","INasc_pyg","chaeMech","MNspinning","MNspider","VentralParaPU","INsplitPB","INtorii","MNwave"
"MC3cover (sg1)",0,61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"covercell_MC3target",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNladder (sg1)",0,0,0,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"MNladder_mus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNsmile (sg1)",0,0,0,0,8,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNsmile_mus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INsplitBronto (sg1)",1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,20,12,0,1,0,0
"INsplitPB_RF_Ya (sg1)",5,0,0,0,0,0,0,1,22,0,0,1,1,0,0,1,0,0,0,6,0,0,0,0,17,1,0
"INsplitPBant (sg1)",0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,11,1,3,0,0,5,0,0
"INCM (sg1)",0,0,0,0,1,0,2,0,0,0,0,2,0,3,3,0,29,2,0,1,0,0,0,0,0,0,0
"INcomm_DownL (sg1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,0,0,0,2,0,0
"INleucoPU (sg1)",0,0,26,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,25
"SNblunt",8,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,3,0,1,4,0,0
"SNbronto",21,0,0,0,0,0,20,0,0,3,0,0,0,0,1,0,0,12,0,4,5,5,0,0,2,0,0
"INMC3",22,1,0,0,0,0,0,0,0,5,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0
"headCR",1,0,0,0,0,0,0,0,0,138,6,1,0,0,0,25,3,20,0,1,4,0,0,0,0,2,0
"MNant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"INrope",0,0,0,0,31,0,1,0,0,2,0,4,2,1,0,0,0,0,0,0,3,5,21,0,0,0,1
"INpreLadderATO",0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"INasc_pyg",0,0,0,0,0,0,1,2,3,0,1,0,1,0,0,4,3,0,0,10,1,1,0,0,5,1,0
"chaeMech",5,0,0,0,0,0,45,0,0,11,7,0,0,1,0,1,1,4,0,46,71,29,0,6,2,1,0
"MNspinning",6,0,1,0,1,0,2,0,0,2,0,0,4,0,2,1,1,2,0,0,8,0,0,3,9,1,0
"MNspider",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"VentralParaPU",3,0,17,0,1,0,0,0,0,0,0,23,1,0,0,0,0,0,1,0,7,8,1,6,6,0,0
"INsplitPB",10,0,0,0,0,0,0,4,5,1,0,14,0,0,0,1,1,1,0,22,3,16,4,2,60,0,0
"INtorii",1,0,0,0,0,0,0,0,3,0,0,7,1,0,0,0,1,0,0,1,0,0,0,0,3,0,0
"MNwave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
