"","chaeMech","CR","SNbronto","INchaeMech","INsplitCR","INsplitBronto","INsplitCRATO","INasc-pyg","INCM","INFVa-pyg","INrope","MNhose","MNring","MNspinning","MNcrab","MNacicX","MNspider"
"chaeMech",69,8,1,51,141,45,16,46,10,17,4,8,46,28,7,0,0
"CR",16,82,0,0,150,0,17,7,141,0,21,0,0,0,25,0,0
"SNbronto",5,0,0,0,2,20,0,4,3,0,12,0,0,5,0,0,0
"INchaeMech",2,0,0,0,0,2,0,0,0,1,0,1,0,0,3,13,3
"INsplitCR",1,14,0,0,24,0,9,4,2,0,0,4,2,7,25,0,1
"INsplitBronto",1,0,1,2,0,0,0,0,1,0,1,1,4,20,2,1,12
"INsplitCRATO",0,0,0,0,2,0,1,0,0,0,1,0,0,3,3,0,2
"INasc-pyg",1,4,0,0,0,1,1,9,0,0,0,0,0,1,0,0,0
"INCM",0,0,3,0,2,2,0,1,0,0,2,0,0,0,0,0,0
"INFVa-pyg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INrope",3,0,1,1,1,1,4,0,2,0,0,9,14,5,3,0,21
"MNhose",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0
"MNring",0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,0,0
"MNspinning",8,1,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0
"MNcrab",0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0
"MNacicX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"MNspider",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
