skid,root,nodes,segments,branchpoints,endpoints,cable.length,nTrees,neuron_type,presyn_sites,postsyn_sites,connectors,nsoma,neuron_names
6743,549,580,13,5,8,85060.61281747489,1,sensory neuron,21,4,NA,NA,PRC_al3
7501,604,734,16,7,9,94870.432230158,1,sensory neuron,27,1,NA,NA,PRC_al4
10536,512,556,18,8,10,91899.32239020578,1,sensory neuron,26,2,NA,NA,PRC_al5
11135,562,562,8,3,5,58849.045223394576,1,sensory neuron,5,1,NA,NA,PRC_al7
12115,430,562,8,3,5,74401.2158616999,1,sensory neuron,10,0,NA,NA,PRC_al1
13459,637,728,23,11,13,85186.90041572334,1,sensory neuron,29,5,NA,NA,PRC_pl1
14162,600,677,10,4,6,79335.53402517884,1,sensory neuron,21,2,NA,NA,PRC_pl2
15519,777,895,8,3,5,70870.67365854779,1,sensory neuron,7,0,NA,NA,PRC_pr2
16668,851,988,23,10,13,103059.41922515832,1,sensory neuron,5,3,NA,NA,PRC_pr1
16719,176,993,50,23,27,146973.90564347815,1,sensory neuron,122,15,NA,NA,MS1
19515,693,757,17,7,10,98847.2977627522,1,sensory neuron,19,3,NA,NA,PRC_pr3
22876,595,627,20,9,11,90248.63660401313,1,sensory neuron,18,1,NA,NA,PRC_pr4
23921,607,721,20,9,11,103130.48854259949,1,sensory neuron,27,1,NA,NA,PRC_ar1
24659,391,487,15,6,9,75768.34273273301,1,sensory neuron,13,3,NA,NA,PRC_ar2
25010,518,802,37,16,21,132680.54747786268,1,sensory neuron,33,2,NA,NA,PRC_ar4
26163,508,599,20,9,11,110601.38587764066,1,sensory neuron,20,0,NA,NA,PRC_ar5
27064,435,564,15,6,9,95542.84405550612,1,sensory neuron,11,1,NA,NA,PRC_ar6
27917,529,649,10,4,6,73428.37113913131,1,sensory neuron,7,0,NA,NA,PRC_ar7
44863,396,749,24,11,13,109901.4829225656,1,sensory neuron,1,16,NA,NA,SN-DLSO1.1NP_l
57341,460,1010,25,11,14,146500.32429964328,1,sensory neuron,55,1,NA,NA,eyespot-PRCR3_r
58694,794,899,15,6,9,88880.14029851949,1,sensory neuron,25,1,NA,NA,PRC_pl3
58877,871,982,10,4,6,81156.20545682046,1,sensory neuron,14,2,NA,NA,PRC_pl4
58968,846,916,16,7,9,78333.34826240214,1,sensory neuron,3,1,NA,NA,PRC_pl5
59671,451,588,12,5,7,67196.89957664655,1,sensory neuron,13,0,NA,NA,PRC_pr5
64258,2121,2680,48,22,26,267526.56872693525,1,sensory neuron,76,39,NA,NA,MS4
77507,316,928,24,11,13,96958.9740106549,1,sensory neuron,36,1,NA,NA,SNhook_l
77552,252,989,19,8,11,96730.1623047038,1,sensory neuron,9,3,NA,NA,SNaant_3l
81251,239,2817,107,52,55,339924.5601016458,1,sensory neuron,14,1,NA,NA,SN-IRP2-burs
115486,47,797,16,7,9,113052.9635693681,1,sensory neuron,14,4,NA,NA,MS3_l
118101,49,981,18,8,10,116023.1380175042,1,sensory neuron,25,2,NA,NA,MS3_r
139142,2063,2123,25,10,15,234240.213132223,1,sensory neuron,3,1,NA,NA,MS5_l
139303,2905,3840,18,8,10,315224.0468366803,1,sensory neuron,26,12,NA,NA,doCRunp
139543,1910,2084,33,15,18,206097.6995624967,1,sensory neuron,19,14,NA,NA,MS5_r
151847,523,604,19,7,12,88090.00534237306,1,sensory neuron,14,0,NA,NA,PRC_al2
153151,150,2180,2,0,2,167304.72843409958,1,sensory neuron,51,20,NA,NA,hCR_2_r; SN
156947,59,1851,8,3,5,118058.49049189092,1,sensory neuron,14,8,NA,NA,hCirrusPU_c1r
160141,258,753,8,3,5,58293.036727841194,1,sensory neuron,6,1,NA,NA,antPUc_1r; SN
167671,457,1033,29,13,16,148569.84456797707,1,sensory neuron,50,0,NA,NA,eyespot-PRCR3_l
174199,178,1380,36,17,19,140739.4661343365,1,sensory neuron,17,11,NA,NA,hPUc1_l
177343,94,1077,25,11,14,106806.75285020376,1,sensory neuron,14,5,NA,NA,hPUc1_r
181663,189,1569,19,8,11,127496.99829218473,1,sensory neuron,11,8,NA,NA,hPU_c_3l; SN
183077,176,926,16,7,9,73635.09321126372,1,sensory neuron,10,2,NA,NA,hPU_c_2l; SN
185562,204,1640,18,8,10,135565.77428375534,1,sensory neuron,24,8,NA,NA,hPU_c_3r; SN
189615,137,769,12,4,8,69520.55875906053,1,sensory neuron,6,0,NA,NA,hPU_c_2r; SN
192051,263,710,8,3,5,55605.64746297266,1,sensory neuron,2,2,NA,NA,antPUc_4r; SN
192214,223,1314,18,8,10,141900.70269163258,1,sensory neuron,1,4,NA,NA,hCR_antCR_5r; SN
192436,316,1392,18,8,10,139972.6025772195,1,sensory neuron,14,10,NA,NA,hCR_antCR_4r; SN
192812,370,778,8,3,5,52928.9000393013,1,sensory neuron,2,3,NA,NA,antPUc_3r; SN
193819,96,2095,8,3,5,154563.56421405435,1,sensory neuron,20,4,NA,NA,hCR_antCR_3r; SN
241978,1038,1235,48,23,26,151909.4605031871,1,sensory neuron,58,1,NA,NA,cPRC_r1
247535,267,1182,40,19,21,136358.2705381075,1,sensory neuron,1,10,NA,NA,SN-NS20_l
248696,1168,1293,40,19,21,146616.14727843195,1,sensory neuron,1,43,NA,NA,SN-NS19_l
250842,255,3068,109,53,56,309436.06759780034,1,sensory neuron,25,43,NA,NA,SN-ASTC_1r
252137,783,1377,58,28,30,175137.24603906687,1,sensory neuron,74,0,NA,NA,cPRC_r2
252608,1232,1306,48,23,25,144765.70724558536,1,sensory neuron,67,2,NA,NA,cPRC_l1
252853,1460,1617,84,39,45,251048.32929269024,1,sensory neuron,81,7,NA,NA,cPRC_l2
265148,147,1410,40,19,21,146902.12220775057,1,sensory neuron,0,10,NA,NA,SN-NS20_r
269876,216,1326,28,13,15,164774.74286988992,1,sensory neuron,21,7,NA,NA,SNbicil_r
273576,1112,1343,45,21,24,149148.18591995552,1,sensory neuron,2,28,NA,NA,SN-NS19_r
275699,37,896,34,16,18,114709.76807306668,1,sensory neuron,5,7,NA,NA,SN-DLSO3_3l
276547,130,764,18,8,10,81854.26705071364,1,sensory neuron,4,1,NA,NA,SNMB with bubble 2
277200,268,2019,82,40,42,217139.017053802,1,sensory neuron,11,31,NA,NA,SN-MIP1_l
290858,1117,2594,73,35,38,249534.8168502111,1,sensory neuron,14,2,NA,NA,SN-NS3_r
295849,2533,3552,132,64,68,427782.7058273128,1,sensory neuron,78,8,NA,NA,SN47Ach
298685,77,700,26,12,14,99535.41295197047,1,sensory neuron,4,3,NA,NA,SN-DLSO3_5l2
300976,561,3593,153,74,80,473919.48123383976,1,sensory neuron,2,22,NA,NA,SN-WLD_1l
306623,174,2712,25,11,14,197141.11881547063,1,sensory neuron,1,5,NA,NA,SN-DSO18
309165,319,991,22,10,12,119984.89754007812,1,sensory neuron,2,2,NA,NA,SNadNS22_r
318576,58,1363,59,28,31,171776.855698902,1,sensory neuron,11,6,NA,NA,SN-NS5_r
320687,18,704,22,10,12,78679.83084323663,1,sensory neuron,5,5,NA,NA,SNhead20_l
324793,174,2714,16,7,9,214054.13091109163,1,sensory neuron,82,7,NA,NA,hCR_dscoCR_2r
346796,817,919,32,15,17,117692.21887361493,1,sensory neuron,13,13,NA,NA,SN-LSO_r; INintr2
370978,12019,12343,76,37,39,985190.3762015288,1,sensory neuron,236,96,NA,NA,pygPBunp
390240,1031,1087,15,7,9,111996.18591750338,1,sensory neuron,7,9,NA,NA,SNstiff_sg0r1
394735,562,854,4,1,3,46654.87530017424,1,sensory neuron,1,3,NA,NA,SNpyg_l post SC 394736 GJ
399192,807,967,16,7,9,104615.20229151132,1,sensory neuron,9,6,NA,NA,SN-DLSO1.2-3_r6
399266,1079,1281,36,17,19,139817.89590748906,1,sensory neuron,19,14,NA,NA,SN-DLSO1.2-3_r2
423498,122,1379,32,15,17,163312.78009911507,1,sensory neuron,4,3,NA,NA,SN-NS1_l
429993,662,920,24,11,13,118421.63182022668,1,sensory neuron,2,15,NA,NA,SN-DLSO2_l
430600,476,682,14,6,8,82819.19697760866,1,sensory neuron,5,3,NA,NA,SN-DLSO2_1l
431489,1296,1553,38,18,20,146912.10626456965,1,sensory neuron,1,4,NA,NA,SN-DLSO1.2-3_r10
436248,172,2984,145,70,75,385495.6585255842,1,sensory neuron,5,7,NA,NA,SN-ASTC_1l
441817,157,799,26,12,14,115941.48645211778,1,sensory neuron,26,7,NA,NA,SNgolden_l
442961,457,2798,134,64,70,380147.1015276831,1,sensory neuron,1,24,NA,NA,SN-WLD_1r
449841,436,599,24,11,13,95361.24198240692,1,sensory neuron,4,1,NA,NA,sensory25;SN
452157,649,1410,44,21,23,146659.3403864753,1,sensory neuron,5,6,NA,NA,SN-NS22_l
452180,180,1623,36,17,19,161082.2716620196,1,sensory neuron,10,5,NA,NA,SN-NS16_r
454054,719,1254,26,12,14,127742.6158659622,1,sensory neuron,2,3,NA,NA,SN-DLSO1.2-3_5l_DLSOl10
463126,120,784,8,3,5,58838.30326430786,1,sensory neuron,2,6,NA,NA,SN28l
463617,110,2145,4,1,3,149137.23860226132,1,sensory neuron,54,18,NA,NA,SNblunt_l
476224,840,980,22,10,12,119957.53071533448,1,sensory neuron,4,4,NA,NA,SN-DLSO1.3_PDF_4r
482732,1018,1246,26,12,14,139401.63383538107,1,sensory neuron,4,4,NA,NA,SN-DLSO1.2-3_l1
485566,354,1163,30,14,16,123858.00343231896,1,sensory neuron,12,2,NA,NA,SN-NS15_l
486036,754,1208,21,9,12,126952.24702041344,1,sensory neuron,2,4,NA,NA,SN-DLSO1.2-3_2l_DLSOl8
486654,24,1905,44,20,24,218947.5408461197,1,sensory neuron,7,0,NA,NA,SN-NS29_r
488162,160,807,24,11,13,81813.44634132208,1,sensory neuron,3,1,NA,NA,SNaant_2l; SN_38
493278,375,2908,98,48,50,325306.3768079166,1,sensory neuron,6,11,NA,NA,SN-MIP1_r
497208,920,983,29,13,17,125902.00806182176,1,sensory neuron,3,13,NA,NA,SNMBdev1_r
508114,684,908,21,9,12,113287.89434686526,1,sensory neuron,4,5,NA,NA,SN0DLSO1.2-4_lPDF-dcl2
523862,295,682,24,11,13,97463.1519945259,1,sensory neuron,1,7,NA,NA,SN-DLSO1.2-1_l
531949,1591,1834,28,13,15,165013.0872485196,1,sensory neuron,15,23,NA,NA,SNnuchNS_r2
532764,308,2129,73,34,39,234343.51603833836,1,sensory neuron,6,7,NA,NA,SN-IRP2-FMRF
537125,157,1500,57,27,30,172922.71816275184,1,sensory neuron,12,5,NA,NA,SN-NS5_l
541367,592,974,22,10,12,105703.25479575654,1,sensory neuron,3,1,NA,NA,SN-DLSO1.2-3_2r_DLSOr9
588869,347,1318,28,13,15,126568.11716917642,1,sensory neuron,10,7,NA,NA,SN-NS16_l
608460,612,657,4,1,3,60192.035841344994,1,sensory neuron,8,2,NA,NA,PB_ventralParaPB2_sg1r
612991,715,849,28,13,15,112090.563486179,1,sensory neuron,1,6,NA,NA,SN-DLSO1.2-3_r5
629210,1532,1626,50,24,26,194808.21070222135,1,sensory neuron,8,1,NA,NA,SN-NS18_r
633874,295,1890,55,26,29,206104.2321412295,1,sensory neuron,22,18,NA,NA,SN-DLSO3-PDF_dcr2
660463,1211,1397,32,15,17,173530.53964994874,1,sensory neuron,3,7,NA,NA,SNhead_l; INintl2
668812,1843,2173,6,2,4,117256.56646900871,1,sensory neuron,33,15,NA,NA,SNpygM_l
669558,621,649,12,5,7,100854.43246135637,1,sensory neuron,9,1,NA,NA,SNMB3_l
672228,156,402,10,4,6,65282.72333352858,1,sensory neuron,5,3,NA,NA,SN-DLSO3_1r
673344,298,813,10,4,6,79269.42946492085,1,sensory neuron,5,1,NA,NA,SNadNS22_l
738760,211,628,4,1,3,47969.071419797016,1,sensory neuron,6,1,NA,NA,antPUc_1l; SN
758789,226,623,20,9,11,91040.8473685,1,sensory neuron,10,7,NA,NA,SNMB 758790
766165,454,720,22,10,12,110364.97886363306,1,sensory neuron,16,6,NA,NA,eyespot-PRCR1_l
770802,705,1008,23,11,13,127276.6112390746,1,sensory neuron,25,2,NA,NA,eyespot-PRCR1_r
780577,615,904,30,14,17,118703.38337283029,1,sensory neuron,1,15,NA,NA,SN-DLSO1.1NP_r
796391,610,1911,20,9,11,205326.88265294983,1,sensory neuron,30,9,NA,NA,hCR_dscoCR_1r; PDF
796862,829,1032,26,12,15,126679.59204702626,1,sensory neuron,6,11,NA,NA,SN-DLSO1.2-3__DLSOr11
837128,653,949,19,8,11,122481.86243294268,1,sensory neuron,7,14,NA,NA,SN-DLSO2_necklace-l
837942,785,1313,30,13,17,128847.26123255644,1,sensory neuron,23,15,NA,NA,SNnuchPDF_Vl
839186,575,660,10,4,6,79745.54043657686,1,sensory neuron,4,3,NA,NA,SN 839187
982688,188,1040,18,8,10,103996.8587541371,1,sensory neuron,24,4,NA,NA,SNaant_3r
983759,127,825,8,3,5,83767.77387002089,1,sensory neuron,7,0,NA,NA,SNaant_1r
984413,151,697,12,5,7,67098.89229269745,1,sensory neuron,9,3,NA,NA,SNaant_2r
1065166,365,1291,8,3,5,131183.69167094794,1,sensory neuron,7,10,NA,NA,SNbicil_l
1065178,873,1231,34,16,18,145591.21684375373,1,sensory neuron,15,14,NA,NA,SNnuch-downloop_l
1068584,766,1139,16,7,9,108792.62834044152,1,sensory neuron,14,11,NA,NA,SNnuchPDF_Vr
1069423,949,1316,16,7,9,115246.14393198508,1,sensory neuron,8,5,NA,NA,SNnuch_l6
1070612,856,1083,28,13,15,149269.49276418806,1,sensory neuron,14,7,NA,NA,SNnuch_DAr
1072496,899,2507,38,18,20,229737.40539136023,1,sensory neuron,79,7,NA,NA,SNantlerPDF_r
1074256,1189,1360,42,20,22,172514.18021105725,1,sensory neuron,17,5,NA,NA,SNnuch_DAl
1075718,588,984,36,17,19,135401.53368899663,1,sensory neuron,11,5,NA,NA,SNPDF-dc_l1_DLSO1.1_4l
1075760,830,1122,14,6,8,132405.2642743996,1,sensory neuron,20,9,NA,NA,SNnuch-downloop_r
1077241,1219,1550,23,10,13,145642.23088540544,1,sensory neuron,37,8,NA,NA,SNnuch_l2
1077309,918,1238,41,20,22,161429.82584894868,1,sensory neuron,8,9,NA,NA,SNPDF-dc_r1_DLSO1.1_4r
1089948,995,1206,31,15,17,134304.04019594818,1,sensory neuron,13,23,NA,NA,SN-DLSO1.2-3_l2
1092264,428,548,20,9,12,101492.28548339671,1,sensory neuron,20,8,NA,NA,SN-DLSO1.0_1l
1092863,789,893,16,7,9,107989.42792908452,1,sensory neuron,3,1,NA,NA,SN-DLSO1.2-3_l4
1101784,568,856,16,7,9,85112.29523461343,1,sensory neuron,4,4,NA,NA,SNnuch_l7
1103961,800,1131,20,9,11,109873.90345816768,1,sensory neuron,9,11,NA,NA,SNnuch_Do2r
1108642,946,1237,26,12,14,132643.22781748412,1,sensory neuron,5,2,NA,NA,SNnuch_Do2l
1113404,1030,1124,21,9,12,115366.44979090428,1,sensory neuron,28,10,NA,NA,SNnuch_Do1l
1116504,214,867,18,7,11,89065.31322567753,1,sensory neuron,7,5,NA,NA,SN28r
1117148,169,672,8,3,5,53106.63290977062,1,sensory neuron,0,4,NA,NA,SN-HSG3_1r
1118465,807,1029,18,8,10,93072.57394363104,1,sensory neuron,0,9,NA,NA,SNnuch_l14 fork
1120455,883,1077,32,15,17,143578.25592012476,1,sensory neuron,2,7,NA,NA,SN-DLSO1.2-3_l8
1122238,343,733,14,6,8,85450.17557300386,1,sensory neuron,6,6,NA,NA,SN 1122239
1123072,373,640,12,5,7,87286.82549063316,1,sensory neuron,3,2,NA,NA,SN-DLSO1.1_3r_116r
1123964,364,638,16,7,9,86980.92030591713,1,sensory neuron,3,2,NA,NA,SN-DLSO1.2-3_r 1123965
1125044,1106,1271,20,9,11,120230.24438939776,1,sensory neuron,6,2,NA,NA,SNnuch_l3
1126354,626,874,7,2,5,83003.40009528157,1,sensory neuron,2,7,NA,NA,SNnuch_Dl
1130360,138,1144,24,11,13,152512.8254190632,1,sensory neuron,27,8,NA,NA,SN-DSO_10
1155295,732,916,34,16,18,127802.94567416604,1,sensory neuron,12,5,NA,NA,SN 1155296
1155695,388,462,12,5,7,96204.36068455728,1,sensory neuron,2,4,NA,NA,SN-DLSO1.4_1l
1156145,771,908,36,17,19,120209.69180998372,1,sensory neuron,8,7,NA,NA,SN-DLSO1.2-3_l6
1156418,1219,1438,28,13,15,148424.3470930153,1,sensory neuron,1,3,NA,NA,SN-DLSO1.3_4l_DLSOl11
1156554,1502,1645,42,20,22,185721.60760633487,1,sensory neuron,3,5,NA,NA,SN-NS18_l
1158821,135,445,14,6,8,75140.9988985532,1,sensory neuron,6,1,NA,NA,SN-DLSO3_5r2
