"","NS","MB","mech (l)","mech (r)","visual","ciliomotor","pigment","postural","muscle 1","muscle 2","muscle 3","muscle 4","muscle 5"
"NS",3034,169,101,62,18,190,63,203,9,9,4,48,5
"MB",167,1310,67,73,7,71,1,100,0,6,0,67,0
"mech (l)",126,84,3640,173,7,153,40,27,95,150,19,114,32
"mech (r)",106,123,161,3144,12,118,34,33,64,101,24,40,45
"visual",37,18,5,13,648,0,0,33,0,0,0,4,0
"ciliomotor",96,38,49,52,2,1388,7,103,5,20,1,20,11
"pigment",18,1,13,7,0,2,533,1,0,1,0,0,0
"postural",73,98,30,28,5,209,0,1820,7,50,0,51,21
"muscle 1",3,1,2,9,0,7,0,11,704,17,1,7,0
"muscle 2",1,0,67,22,0,4,0,44,25,1679,11,28,24
"muscle 3",1,3,6,11,0,0,0,2,0,7,235,3,0
"muscle 4",19,19,85,15,2,22,0,32,15,86,6,519,14
"muscle 5",0,1,13,6,0,6,0,10,0,21,0,0,323
