"PRC"	"IN1"	"INton"	"INpreSer"	"cPRC"	"INRGWa"	"INNOS"	"Ser.h1"	"MC"	"cMNPDF.vcl1"	"cMNATO"	"cMNdc"	"SNnuchPDF"	"SNnuchNS"	"SNnuchBx"	"SNgolden"	"SNhorn"	"SNhook"	"MNant"	"SNlasso"	"INlasso"	"INdecussPre"	"INpreMN"	"SNMIP.vc"	"SNmus"	"SNantlerPDF"	"SNPDF.dc"	"SN0DLSO1.2.4"	"SN.DLSO1.2.3"	"SN.DLSO1.2.1"	"SN.DLSO2"	"SNMB2"	"eyespot.PRCR3"	"eyespot.PRCR1"	"MS1"	"MS4"	"MS3"	"MS5"	"SN.ASTC"	"SN.DLSO3.PDF"	"SN.DLSO3"	"MC2biax.1"	"SN.IRP2.burs"	"SN.IRP2.FMRF"	"SN.MIP4"	"SN.MIP1"	"MNspinning"	"SN.WLD"	"SN.DSO"	"SNbicil"	"SNasym"	"SN47Ach"	"INCrossbow"	"pygPBunp"	"INarc1"	"INarc2"	"INsn"	"INrope"	"Loop"	"INCM"	"MNspider.ant"	"MNspider.post"	"MNbiramous"	"MNring"	"MNcrab"	"MNhose"	"MNbow"	"MNwave"	"MNacicX"	"INchaeMech"	"chaeMech"	"INFVa.pyg"	"INsplitCR"	"INsplitCRATO"	"INMC3"	"INbiax"	"INsplitPB.RF.Ya"	"INsplitPBant"	"INsplitPB"	"PB"	"interparaPM1"	"cioMNcover"	"INsplitPUh"	"MN3"	"MN1"	"MN2"	"MC3cover"	"antPUc"	"spinPU"	"VentraltrunkPUunp"	"trochPU"	"hPUc1"	"pygCirrusPUSM"	"hCirrusPU"	"parapodPU"	"hPU"	"dsoPU"	"pygCirrusPU"	"hPU2l.asymPDF"	"hCR"	"ventralpygCR"	"doCRunp"	"SN.DLSO1.0"	"INdc"	"INbackcross"	"MNcommUpL"	"MNob.ipsi"	"INbiaxLeg"	"INbiaxH"	"SN.NS1"	"SN.NS3"	"SN.NS4"	"SN.NS15"	"SNaant"	"SNPDF.pyg"	"INfoot"	"INW"	"INmidL"	"INhook"	"INMBtype6"	"INMBtype5"	"INMBtype7"	"INcross"	"INpro"	"INproT2"	"INpear"	"INZ"	"MNpostv"	"SN.NS22"	"SN.NS5"	"SN.NS17"	"SN.YF5cil"	"SN.NS19"	"SN.NS20"	"SN.NS6"	"SN.NS29"	"SN.NS27"	"SN.NS18"	"SN.NS16"	"INbigloop"	"SNadNS22"	"Ser.tr1"	"SNFVa"	"INUturn"	"INATOpyg"	"INcomm.Upstairs"	"INasc.pyg"	"SNblunt"	"INsplitBronto"	"INleucoPU"	"MNladder"	"INdecussfoot"	"INdecusshook"	"INpreLadder"	"INcomm.Upcross"	"MNacic"	"INsplitVent"	"INcomm.DownL"	"MNarm"	"INlasso.postSN"	"MNantacic"	"MNpostacic"	"SN.DLSO1.3"	"MNakro"	"MNchae"	"MNgland.head"	"SNstiff"	"SNbronto"	"INcommascFV"	"SNpygM"	"INR1"	"SN.DLSO1.1NP"	"SN.DLSO1.1"	"INmus"	"INdescLuqinPDF"	"INcosplit"	"INcommdescFVa"	"MNheadV"	"INsqNSasym"	"INbiaxHmid"	"MNantelope"	"MNsmile"	"INhorn"	"INMBPDF"	"INMBdescFMRF"	"INDLSO"	"SNtorii"	"INexsn"	"MBmouth"	"SNtrpa"	"INtorii"	"INUturnMB"	"INface"	"INMBdesc3"	"INMBdesc2"	"INpara"	"INMBtype9"	"INMBtype2"	"INdecussM"	"INiaStiff"	"INmantis"	"INsplitSpin"
"ectoderm"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"episphere"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0
"segment_0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"segment_1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
"segment_2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"segment_3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"torso"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
"pygidium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"neurosecretory_plexus"	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mushroom body"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0
