"annotation1"	"annotation2"	"number"
"1"	"ectoderm"	"ectoderm"	7595
"2"	"ectoderm"	"episphere"	2485
"3"	"ectoderm"	"segment_0"	311
"4"	"ectoderm"	"segment_1"	1153
"5"	"ectoderm"	"segment_2"	1331
"6"	"ectoderm"	"segment_3"	1184
"7"	"ectoderm"	"torso"	4363
"8"	"ectoderm"	"pygidium"	337
"9"	"ectoderm"	"neurosecretory_plexus"	78
"10"	"ectoderm"	"mushroom body"	232
"11"	"ectoderm"	"Apical_organ"	44
"12"	"ectoderm"	"Dorsal_sensory_organ"	39
"13"	"ectoderm"	"Dorsolateral_sense_organs"	120
"14"	"ectoderm"	"antenna"	115
"15"	"ectoderm"	"eyespot"	7
"16"	"ectoderm"	"mechanosensory_girdle"	333
"17"	"ectoderm"	"nuchal organ"	45
"18"	"ectoderm"	"Sensory neuron"	1017
"19"	"ectoderm"	"sensory_motor_neuron"	10
"20"	"ectoderm"	"sensory_neurosecretory_neuron"	70
"21"	"ectoderm"	"interneuron"	1395
"22"	"ectoderm"	"premotor"	213
"23"	"ectoderm"	"motorneuron"	251
"24"	"ectoderm"	"ciliomotors"	13
"25"	"ectoderm"	"rhabdomeric photoreceptor"	24
"26"	"ectoderm"	"ciliary photoreceptor"	4
"27"	"ectoderm"	"sensory_cilia"	499
"28"	"ectoderm"	"Uniciliated_penetrating_cell"	202
"29"	"ectoderm"	"Biciliated_penetrating_cell"	53
"30"	"ectoderm"	"Uniciliated_nonpenetrating_cell"	200
"31"	"ectoderm"	"Biciliated_nonpenetrating_cell"	14
"32"	"ectoderm"	"Multiciliated_penetrating_cell"	6
"33"	"ectoderm"	"dense cored vesicles"	514
"34"	"ectoderm"	"asymmetric neuron"	15
"35"	"ectoderm"	"biaxonal"	15
"36"	"ectoderm"	"decussating"	79
"37"	"ectoderm"	"commissural"	433
"38"	"ectoderm"	"ipsilateral"	980
"39"	"ectoderm"	"contralateral"	702
"40"	"ectoderm"	"pseudounipolar"	176
"41"	"ectoderm"	"descending"	229
"42"	"ectoderm"	"ascending"	303
"43"	"ectoderm"	"global_reach"	40
"44"	"ectoderm"	"head_trunk"	214
"45"	"ectoderm"	"siGOLD"	105
"46"	"ectoderm"	"glutamatergic"	69
"47"	"ectoderm"	"serotonergic"	4
"48"	"ectoderm"	"cholinergic"	18
"49"	"ectoderm"	"adrenergic"	1
"50"	"ectoderm"	"dopaminergic"	1
"51"	"episphere"	"ectoderm"	2485
"52"	"episphere"	"episphere"	2609
"53"	"episphere"	"segment_0"	0
"54"	"episphere"	"segment_1"	0
"55"	"episphere"	"segment_2"	0
"56"	"episphere"	"segment_3"	0
"57"	"episphere"	"torso"	0
"58"	"episphere"	"pygidium"	0
"59"	"episphere"	"neurosecretory_plexus"	78
"60"	"episphere"	"mushroom body"	232
"61"	"episphere"	"Apical_organ"	44
"62"	"episphere"	"Dorsal_sensory_organ"	39
"63"	"episphere"	"Dorsolateral_sense_organs"	120
"64"	"episphere"	"antenna"	115
"65"	"episphere"	"eyespot"	7
"66"	"episphere"	"mechanosensory_girdle"	69
"67"	"episphere"	"nuchal organ"	45
"68"	"episphere"	"Sensory neuron"	665
"69"	"episphere"	"sensory_motor_neuron"	4
"70"	"episphere"	"sensory_neurosecretory_neuron"	70
"71"	"episphere"	"interneuron"	678
"72"	"episphere"	"premotor"	71
"73"	"episphere"	"motorneuron"	22
"74"	"episphere"	"ciliomotors"	8
"75"	"episphere"	"rhabdomeric photoreceptor"	24
"76"	"episphere"	"ciliary photoreceptor"	4
"77"	"episphere"	"sensory_cilia"	283
"78"	"episphere"	"Uniciliated_penetrating_cell"	60
"79"	"episphere"	"Biciliated_penetrating_cell"	2
"80"	"episphere"	"Uniciliated_nonpenetrating_cell"	187
"81"	"episphere"	"Biciliated_nonpenetrating_cell"	10
"82"	"episphere"	"Multiciliated_penetrating_cell"	0
"83"	"episphere"	"dense cored vesicles"	346
"84"	"episphere"	"asymmetric neuron"	15
"85"	"episphere"	"biaxonal"	7
"86"	"episphere"	"decussating"	79
"87"	"episphere"	"commissural"	2
"88"	"episphere"	"ipsilateral"	284
"89"	"episphere"	"contralateral"	271
"90"	"episphere"	"pseudounipolar"	11
"91"	"episphere"	"descending"	67
"92"	"episphere"	"ascending"	0
"93"	"episphere"	"global_reach"	18
"94"	"episphere"	"head_trunk"	138
"95"	"episphere"	"siGOLD"	43
"96"	"episphere"	"glutamatergic"	48
"97"	"episphere"	"serotonergic"	2
"98"	"episphere"	"cholinergic"	13
"99"	"episphere"	"adrenergic"	1
"100"	"episphere"	"dopaminergic"	1
"101"	"segment_0"	"ectoderm"	311
"102"	"segment_0"	"episphere"	0
"103"	"segment_0"	"segment_0"	413
"104"	"segment_0"	"segment_1"	0
"105"	"segment_0"	"segment_2"	0
"106"	"segment_0"	"segment_3"	0
"107"	"segment_0"	"torso"	413
"108"	"segment_0"	"pygidium"	0
"109"	"segment_0"	"neurosecretory_plexus"	0
"110"	"segment_0"	"mushroom body"	0
"111"	"segment_0"	"Apical_organ"	0
"112"	"segment_0"	"Dorsal_sensory_organ"	0
"113"	"segment_0"	"Dorsolateral_sense_organs"	0
"114"	"segment_0"	"antenna"	0
"115"	"segment_0"	"eyespot"	0
"116"	"segment_0"	"mechanosensory_girdle"	12
"117"	"segment_0"	"nuchal organ"	0
"118"	"segment_0"	"Sensory neuron"	72
"119"	"segment_0"	"sensory_motor_neuron"	0
"120"	"segment_0"	"sensory_neurosecretory_neuron"	0
"121"	"segment_0"	"interneuron"	15
"122"	"segment_0"	"premotor"	2
"123"	"segment_0"	"motorneuron"	1
"124"	"segment_0"	"ciliomotors"	0
"125"	"segment_0"	"rhabdomeric photoreceptor"	0
"126"	"segment_0"	"ciliary photoreceptor"	0
