neuron;radius;sholl;side
PRC;1;2,87942802921341e+00;left
PRC;2;2,74577989445436e+00;left
PRC;3;2,60166341145226e+00;left
PRC;4;2,39890425412941e+00;left
PRC;5;1,98158359225709e+00;left
PRC;6;1,56370861474577e+00;left
PRC;7;1,19750168969022e+00;left
PRC;8;1,03335132427951e+00;left
PRC;9;1,03804112633048e+00;left
PRC;10;1,08333333333333e+00;left
PRC;11;1,11194987819643e+00;left
PRC;12;1,12393573828522e+00;left
PRC;13;1,12350298309337e+00;left
PRC;14;1,09679372164603e+00;left
PRC;15;1,08546185676289e+00;left
PRC;16;1,06561589816152e+00;left
PRC;17;1,08910988578180e+00;left
PRC;18;1,17031469568558e+00;left
PRC;19;1,31774442159108e+00;left
PRC;20;1,48332433786024e+00;left
PRC;21;1,69788946751662e+00;left
PRC;22;1,94806573016498e+00;left
PRC;23;2,08671514497299e+00;left
PRC;24;2,21986394954755e+00;left
PRC;25;2,26155310489694e+00;left
PRC;26;2,22689379020612e+00;left
PRC;27;2,26155310489694e+00;left
PRC;28;2,31991792238609e+00;left
PRC;29;2,35977637740143e+00;left
PRC;30;2,32794455871126e+00;left
PRC;31;2,24705094355219e+00;left
PRC;32;2,14382667425204e+00;left
PRC;33;1,99821427703140e+00;left
PRC;34;1,76450216134475e+00;left
PRC;35;1,44342090547946e+00;left
PRC;36;1,15259726051376e+00;left
PRC;37;1,02136546419072e+00;left
PRC;38;9,46369961927268e-01;left
PRC;39;8,32246582935831e-01;left
PRC;40;6,82255578408918e-01;left
PRC;41;5,14114383518348e-01;left
PRC;42;3,41671164403210e-01;left
PRC;43;1,98931240548675e-01;left
PRC;44;9,74477168516817e-02;left
PRC;45;2,50134932096334e-02;left
PRC;46;0,00000000000000e+00;left
PRC;47;0,00000000000000e+00;left
PRC;48;0,00000000000000e+00;left
PRC;49;0,00000000000000e+00;left
PRC;50;0,00000000000000e+00;left
PRC;51;0,00000000000000e+00;left
PRC;52;0,00000000000000e+00;left
PRC;53;0,00000000000000e+00;left
PRC;54;0,00000000000000e+00;left
PRC;55;0,00000000000000e+00;left
PRC;56;0,00000000000000e+00;left
PRC;57;0,00000000000000e+00;left
PRC;58;0,00000000000000e+00;left
PRC;59;0,00000000000000e+00;left
PRC;60;0,00000000000000e+00;left
PRC;61;0,00000000000000e+00;left
PRC;62;0,00000000000000e+00;left
PRC;63;0,00000000000000e+00;left
PRC;64;0,00000000000000e+00;left
PRC;65;0,00000000000000e+00;left
PRC;66;0,00000000000000e+00;left
PRC;67;0,00000000000000e+00;left
PRC;68;0,00000000000000e+00;left
PRC;69;0,00000000000000e+00;left
PRC;70;0,00000000000000e+00;left
PRC;71;0,00000000000000e+00;left
PRC;72;0,00000000000000e+00;left
PRC;73;0,00000000000000e+00;left
PRC;74;0,00000000000000e+00;left
PRC;75;0,00000000000000e+00;left
PRC;76;0,00000000000000e+00;left
PRC;77;0,00000000000000e+00;left
PRC;78;0,00000000000000e+00;left
PRC;79;0,00000000000000e+00;left
PRC;80;0,00000000000000e+00;left
PRC;81;0,00000000000000e+00;left
PRC;82;0,00000000000000e+00;left
PRC;83;0,00000000000000e+00;left
PRC;84;0,00000000000000e+00;left
PRC;85;0,00000000000000e+00;left
PRC;86;0,00000000000000e+00;left
PRC;87;0,00000000000000e+00;left
PRC;88;0,00000000000000e+00;left
PRC;89;0,00000000000000e+00;left
PRC;90;0,00000000000000e+00;left
PRC;91;0,00000000000000e+00;left
PRC;92;0,00000000000000e+00;left
PRC;93;0,00000000000000e+00;left
PRC;94;0,00000000000000e+00;left
PRC;95;0,00000000000000e+00;left
PRC;96;0,00000000000000e+00;left
PRC;97;0,00000000000000e+00;left
PRC;98;0,00000000000000e+00;left
PRC;99;0,00000000000000e+00;left
PRC;100;0,00000000000000e+00;left
PRC;101;0,00000000000000e+00;left
PRC;102;0,00000000000000e+00;left
PRC;103;0,00000000000000e+00;left
PRC;104;0,00000000000000e+00;left
PRC;105;0,00000000000000e+00;left
PRC;106;0,00000000000000e+00;left
PRC;107;0,00000000000000e+00;left
PRC;108;0,00000000000000e+00;left
PRC;109;0,00000000000000e+00;left
PRC;110;0,00000000000000e+00;left
PRC;111;0,00000000000000e+00;left
PRC;112;0,00000000000000e+00;left
PRC;113;0,00000000000000e+00;left
PRC;114;0,00000000000000e+00;left
PRC;115;0,00000000000000e+00;left
PRC;116;0,00000000000000e+00;left
PRC;117;0,00000000000000e+00;left
PRC;118;0,00000000000000e+00;left
PRC;119;0,00000000000000e+00;left
PRC;120;0,00000000000000e+00;left
PRC;121;0,00000000000000e+00;left
PRC;122;0,00000000000000e+00;left
PRC;123;0,00000000000000e+00;left
PRC;124;0,00000000000000e+00;left
PRC;125;0,00000000000000e+00;left
PRC;126;0,00000000000000e+00;left
PRC;127;0,00000000000000e+00;left
PRC;128;0,00000000000000e+00;left
PRC;129;0,00000000000000e+00;left
PRC;130;0,00000000000000e+00;left
PRC;131;0,00000000000000e+00;left
PRC;132;0,00000000000000e+00;left
PRC;133;0,00000000000000e+00;left
PRC;134;0,00000000000000e+00;left
PRC;135;0,00000000000000e+00;left
PRC;136;0,00000000000000e+00;left
PRC;137;0,00000000000000e+00;left
PRC;138;0,00000000000000e+00;left
PRC;139;0,00000000000000e+00;left
PRC;140;0,00000000000000e+00;left
PRC;141;0,00000000000000e+00;left
PRC;142;0,00000000000000e+00;left
PRC;143;0,00000000000000e+00;left
PRC;144;0,00000000000000e+00;left
PRC;145;0,00000000000000e+00;left
PRC;146;0,00000000000000e+00;left
PRC;147;0,00000000000000e+00;left
PRC;148;0,00000000000000e+00;left
PRC;149;0,00000000000000e+00;left
PRC;150;0,00000000000000e+00;left
PRC;151;0,00000000000000e+00;left
PRC;152;0,00000000000000e+00;left
PRC;153;0,00000000000000e+00;left
PRC;154;0,00000000000000e+00;left
PRC;155;0,00000000000000e+00;left
PRC;156;0,00000000000000e+00;left
PRC;157;0,00000000000000e+00;left
PRC;158;0,00000000000000e+00;left
PRC;159;0,00000000000000e+00;left
PRC;160;0,00000000000000e+00;left
PRC;161;0,00000000000000e+00;left
PRC;162;0,00000000000000e+00;left
PRC;163;0,00000000000000e+00;left
PRC;164;0,00000000000000e+00;left
PRC;165;0,00000000000000e+00;left
PRC;166;0,00000000000000e+00;left
PRC;167;0,00000000000000e+00;left
PRC;168;0,00000000000000e+00;left
PRC;169;0,00000000000000e+00;left
PRC;170;0,00000000000000e+00;left
PRC;171;0,00000000000000e+00;left
PRC;172;0,00000000000000e+00;left
PRC;173;0,00000000000000e+00;left
PRC;174;0,00000000000000e+00;left
PRC;175;0,00000000000000e+00;left
PRC;176;0,00000000000000e+00;left
PRC;177;0,00000000000000e+00;left
PRC;178;0,00000000000000e+00;left
PRC;179;0,00000000000000e+00;left
PRC;180;0,00000000000000e+00;left
IN1;1;2,39702361124997e+00;left
IN1;2;2,07694176431031e+00;left
IN1;3;1,77229649129901e+00;left
IN1;4;1,46264058465713e+00;left
IN1;5;1,30516242906948e+00;left
IN1;6;1,28358204600820e+00;left
IN1;7;1,35383134217321e+00;left
IN1;8;1,56884162618704e+00;left
IN1;9;1,97280352428048e+00;left
IN1;10;2,25939346199291e+00;left
IN1;11;2,48765188977871e+00;left
IN1;12;2,61397167155340e+00;left
IN1;13;2,93132029232856e+00;left
IN1;14;3,48869050223914e+00;left
IN1;15;3,91734862077517e+00;left
IN1;16;4,13485916006593e+00;left
IN1;17;4,23898297667498e+00;left
IN1;18;4,27232652108587e+00;left
IN1;19;4,32506527796012e+00;left
IN1;20;4,27232652108587e+00;left
IN1;21;4,01886423643021e+00;left
IN1;22;3,41072454888918e+00;left
IN1;23;2,73539013609908e+00;left
IN1;24;2,02626580893615e+00;left
IN1;25;1,79396087698569e+00;left
IN1;26;2,04159117762899e+00;left
IN1;27;2,42458827476551e+00;left
IN1;28;2,97895059297186e+00;left
IN1;29;3,36873368050997e+00;left
IN1;30;3,75486995463364e+00;left
IN1;31;4,35904774408122e+00;left
IN1;32;5,06003238370312e+00;left
IN1;33;5,71474041982116e+00;left
IN1;34;5,87211062973174e+00;left
IN1;35;5,24345251119572e+00;left
IN1;36;4,07128790862544e+00;left
IN1;37;2,92528116931425e+00;left
IN1;38;2,15904774408122e+00;left
IN1;39;1,78978308753811e+00;left
IN1;40;1,68150482108733e+00;left
IN1;41;1,49848438434496e+00;left
IN1;42;1,35893979840415e+00;left
IN1;43;1,12360363514361e+00;left
IN1;44;8,82543433547766e-01;left
IN1;45;6,40021589135413e-01;left
IN1;46;4,60032383703119e-01;left
IN1;47;3,73842136740916e-01;left
IN1;48;2,63571251440491e-01;left
IN1;49;1,73842136740915e-01;left
IN1;50;6,00323837031196e-02;left
IN1;51;0,00000000000000e+00;left
IN1;52;0,00000000000000e+00;left
IN1;53;0,00000000000000e+00;left
IN1;54;0,00000000000000e+00;left
IN1;55;0,00000000000000e+00;left
IN1;56;0,00000000000000e+00;left
IN1;57;0,00000000000000e+00;left
IN1;58;0,00000000000000e+00;left
IN1;59;0,00000000000000e+00;left
IN1;60;0,00000000000000e+00;left
IN1;61;0,00000000000000e+00;left
IN1;62;0,00000000000000e+00;left
IN1;63;0,00000000000000e+00;left
IN1;64;0,00000000000000e+00;left
IN1;65;0,00000000000000e+00;left
IN1;66;0,00000000000000e+00;left
IN1;67;0,00000000000000e+00;left
IN1;68;0,00000000000000e+00;left
IN1;69;0,00000000000000e+00;left
IN1;70;0,00000000000000e+00;left
IN1;71;0,00000000000000e+00;left
IN1;72;0,00000000000000e+00;left
IN1;73;0,00000000000000e+00;left
IN1;74;0,00000000000000e+00;left
IN1;75;0,00000000000000e+00;left
IN1;76;0,00000000000000e+00;left
IN1;77;0,00000000000000e+00;left
IN1;78;0,00000000000000e+00;left
