"region"	"celltype"	"number"	"SN_MN_IN"	"sum_cells"
"1"	"head"	"PB"	3	"Sensory neuron"	57
"2"	"peristomium"	"PB"	0	"Sensory neuron"	57
"3"	"sg0"	"PB"	0	"Sensory neuron"	57
"4"	"sg1"	"PB"	10	"Sensory neuron"	57
"5"	"sg2"	"PB"	18	"Sensory neuron"	57
"6"	"sg3"	"PB"	17	"Sensory neuron"	57
"7"	"pyg"	"PB"	9	"Sensory neuron"	57
"8"	"head"	"trochPU"	0	"Sensory neuron"	30
"9"	"peristomium"	"trochPU"	0	"Sensory neuron"	30
"10"	"sg0"	"trochPU"	0	"Sensory neuron"	30
"11"	"sg1"	"trochPU"	10	"Sensory neuron"	30
"12"	"sg2"	"trochPU"	11	"Sensory neuron"	30
"13"	"sg3"	"trochPU"	8	"Sensory neuron"	30
"14"	"pyg"	"trochPU"	1	"Sensory neuron"	30
"15"	"head"	"SN-DLSO1.2-3"	28	"Sensory neuron"	28
"16"	"peristomium"	"SN-DLSO1.2-3"	0	"Sensory neuron"	28
"17"	"sg0"	"SN-DLSO1.2-3"	0	"Sensory neuron"	28
"18"	"sg1"	"SN-DLSO1.2-3"	0	"Sensory neuron"	28
"19"	"sg2"	"SN-DLSO1.2-3"	0	"Sensory neuron"	28
"20"	"sg3"	"SN-DLSO1.2-3"	0	"Sensory neuron"	28
"21"	"pyg"	"SN-DLSO1.2-3"	0	"Sensory neuron"	28
"22"	"head"	"parapodPU"	0	"Sensory neuron"	26
"23"	"peristomium"	"parapodPU"	0	"Sensory neuron"	26
"24"	"sg0"	"parapodPU"	0	"Sensory neuron"	26
"25"	"sg1"	"parapodPU"	4	"Sensory neuron"	26
"26"	"sg2"	"parapodPU"	10	"Sensory neuron"	26
"27"	"sg3"	"parapodPU"	12	"Sensory neuron"	26
"28"	"pyg"	"parapodPU"	0	"Sensory neuron"	26
"29"	"head"	"PRC"	24	"Sensory neuron"	24
"30"	"head"	"SNnuchPDF"	24	"Sensory neuron"	24
"31"	"head"	"hCR"	24	"Sensory neuron"	24
"32"	"peristomium"	"PRC"	0	"Sensory neuron"	24
"33"	"peristomium"	"SNnuchPDF"	0	"Sensory neuron"	24
"34"	"peristomium"	"hCR"	0	"Sensory neuron"	24
"35"	"sg0"	"PRC"	0	"Sensory neuron"	24
"36"	"sg0"	"SNnuchPDF"	0	"Sensory neuron"	24
"37"	"sg0"	"hCR"	0	"Sensory neuron"	24
"38"	"sg1"	"PRC"	0	"Sensory neuron"	24
"39"	"sg1"	"SNnuchPDF"	0	"Sensory neuron"	24
"40"	"sg1"	"hCR"	0	"Sensory neuron"	24
"41"	"sg2"	"PRC"	0	"Sensory neuron"	24
"42"	"sg2"	"SNnuchPDF"	0	"Sensory neuron"	24
"43"	"sg2"	"hCR"	0	"Sensory neuron"	24
"44"	"sg3"	"PRC"	0	"Sensory neuron"	24
"45"	"sg3"	"SNnuchPDF"	0	"Sensory neuron"	24
"46"	"sg3"	"hCR"	0	"Sensory neuron"	24
"47"	"pyg"	"PRC"	0	"Sensory neuron"	24
"48"	"pyg"	"SNnuchPDF"	0	"Sensory neuron"	24
"49"	"pyg"	"hCR"	0	"Sensory neuron"	24
"50"	"head"	"ventralpygCR"	0	"Sensory neuron"	21
"51"	"peristomium"	"ventralpygCR"	0	"Sensory neuron"	21
"52"	"sg0"	"ventralpygCR"	4	"Sensory neuron"	21
"53"	"sg1"	"ventralpygCR"	2	"Sensory neuron"	21
"54"	"sg2"	"ventralpygCR"	2	"Sensory neuron"	21
"55"	"sg3"	"ventralpygCR"	2	"Sensory neuron"	21
"56"	"pyg"	"ventralpygCR"	11	"Sensory neuron"	21
"57"	"head"	"chaeMech"	0	"Sensory neuron"	20
"58"	"peristomium"	"chaeMech"	0	"Sensory neuron"	20
"59"	"sg0"	"chaeMech"	0	"Sensory neuron"	20
"60"	"sg1"	"chaeMech"	4	"Sensory neuron"	20
"61"	"sg2"	"chaeMech"	8	"Sensory neuron"	20
"62"	"sg3"	"chaeMech"	8	"Sensory neuron"	20
"63"	"pyg"	"chaeMech"	0	"Sensory neuron"	20
"64"	"head"	"SN-DSO"	17	"Sensory neuron"	17
"65"	"head"	"antPUc"	17	"Sensory neuron"	17
"66"	"head"	"pygCirrusPU"	0	"Sensory neuron"	17
"67"	"peristomium"	"SN-DSO"	0	"Sensory neuron"	17
"68"	"peristomium"	"antPUc"	0	"Sensory neuron"	17
"69"	"peristomium"	"pygCirrusPU"	0	"Sensory neuron"	17
"70"	"sg0"	"SN-DSO"	0	"Sensory neuron"	17
"71"	"sg0"	"antPUc"	0	"Sensory neuron"	17
"72"	"sg0"	"pygCirrusPU"	0	"Sensory neuron"	17
"73"	"sg1"	"SN-DSO"	0	"Sensory neuron"	17
"74"	"sg1"	"antPUc"	0	"Sensory neuron"	17
"75"	"sg1"	"pygCirrusPU"	0	"Sensory neuron"	17
"76"	"sg2"	"SN-DSO"	0	"Sensory neuron"	17
"77"	"sg2"	"antPUc"	0	"Sensory neuron"	17
"78"	"sg2"	"pygCirrusPU"	0	"Sensory neuron"	17
"79"	"sg3"	"SN-DSO"	0	"Sensory neuron"	17
"80"	"sg3"	"antPUc"	0	"Sensory neuron"	17
"81"	"sg3"	"pygCirrusPU"	0	"Sensory neuron"	17
"82"	"pyg"	"SN-DSO"	0	"Sensory neuron"	17
"83"	"pyg"	"antPUc"	0	"Sensory neuron"	17
"84"	"pyg"	"pygCirrusPU"	17	"Sensory neuron"	17
"85"	"head"	"hCirrusPU"	0	"Sensory neuron"	14
"86"	"peristomium"	"hCirrusPU"	0	"Sensory neuron"	14
"87"	"sg0"	"hCirrusPU"	5	"Sensory neuron"	14
"88"	"sg1"	"hCirrusPU"	4	"Sensory neuron"	14
"89"	"sg2"	"hCirrusPU"	4	"Sensory neuron"	14
