"region"	"celltype"	"number"	"ANNOT"	"sum_cells"
"1"	"head"	"paratroch"	0	"ciliated cell"	34
"2"	"peristomium"	"paratroch"	0	"ciliated cell"	34
"3"	"sg0"	"paratroch"	0	"ciliated cell"	34
"4"	"sg1"	"paratroch"	8	"ciliated cell"	34
"5"	"sg2"	"paratroch"	14	"ciliated cell"	34
"6"	"sg3"	"paratroch"	12	"ciliated cell"	34
"7"	"pyg"	"paratroch"	0	"ciliated cell"	34
"8"	"head"	"prototroch"	23	"ciliated cell"	23
"9"	"peristomium"	"prototroch"	0	"ciliated cell"	23
"10"	"sg0"	"prototroch"	0	"ciliated cell"	23
"11"	"sg1"	"prototroch"	0	"ciliated cell"	23
"12"	"sg2"	"prototroch"	0	"ciliated cell"	23
"13"	"sg3"	"prototroch"	0	"ciliated cell"	23
"14"	"pyg"	"prototroch"	0	"ciliated cell"	23
"15"	"head"	"akrotroch"	8	"ciliated cell"	8
"16"	"head"	"metatroch"	0	"ciliated cell"	8
"17"	"peristomium"	"akrotroch"	0	"ciliated cell"	8
"18"	"peristomium"	"metatroch"	0	"ciliated cell"	8
"19"	"sg0"	"akrotroch"	0	"ciliated cell"	8
"20"	"sg0"	"metatroch"	8	"ciliated cell"	8
"21"	"sg1"	"akrotroch"	0	"ciliated cell"	8
"22"	"sg1"	"metatroch"	0	"ciliated cell"	8
"23"	"sg2"	"akrotroch"	0	"ciliated cell"	8
"24"	"sg2"	"metatroch"	0	"ciliated cell"	8
"25"	"sg3"	"akrotroch"	0	"ciliated cell"	8
"26"	"sg3"	"metatroch"	0	"ciliated cell"	8
"27"	"pyg"	"akrotroch"	0	"ciliated cell"	8
"28"	"pyg"	"metatroch"	0	"ciliated cell"	8
"29"	"head"	"nuchalCiliaCilia"	6	"ciliated cell"	6
"30"	"peristomium"	"nuchalCiliaCilia"	0	"ciliated cell"	6
"31"	"sg0"	"nuchalCiliaCilia"	0	"ciliated cell"	6
"32"	"sg1"	"nuchalCiliaCilia"	0	"ciliated cell"	6
"33"	"sg2"	"nuchalCiliaCilia"	0	"ciliated cell"	6
"34"	"sg3"	"nuchalCiliaCilia"	0	"ciliated cell"	6
"35"	"pyg"	"nuchalCiliaCilia"	0	"ciliated cell"	6
"36"	"head"	"crescentcell"	1	"ciliated cell"	1
"37"	"peristomium"	"crescentcell"	0	"ciliated cell"	1
"38"	"sg0"	"crescentcell"	0	"ciliated cell"	1
"39"	"sg1"	"crescentcell"	0	"ciliated cell"	1
"40"	"sg2"	"crescentcell"	0	"ciliated cell"	1
"41"	"sg3"	"crescentcell"	0	"ciliated cell"	1
"42"	"pyg"	"crescentcell"	0	"ciliated cell"	1
"43"	"head"	"chaeFC-hemi"	0	"follicle cell"	187
"44"	"peristomium"	"chaeFC-hemi"	0	"follicle cell"	187
"45"	"sg0"	"chaeFC-hemi"	0	"follicle cell"	187
"46"	"sg1"	"chaeFC-hemi"	55	"follicle cell"	187
"47"	"sg2"	"chaeFC-hemi"	71	"follicle cell"	187
"48"	"sg3"	"chaeFC-hemi"	61	"follicle cell"	187
"49"	"pyg"	"chaeFC-hemi"	0	"follicle cell"	187
"50"	"head"	"chaeFC-EC"	0	"follicle cell"	106
"51"	"peristomium"	"chaeFC-EC"	0	"follicle cell"	106
"52"	"sg0"	"chaeFC-EC"	0	"follicle cell"	106
"53"	"sg1"	"chaeFC-EC"	30	"follicle cell"	106
"54"	"sg2"	"chaeFC-EC"	40	"follicle cell"	106
"55"	"sg3"	"chaeFC-EC"	36	"follicle cell"	106
"56"	"pyg"	"chaeFC-EC"	0	"follicle cell"	106
"57"	"head"	"chaeFC-noER"	0	"follicle cell"	102
"58"	"peristomium"	"chaeFC-noER"	0	"follicle cell"	102
"59"	"sg0"	"chaeFC-noER"	0	"follicle cell"	102
"60"	"sg1"	"chaeFC-noER"	30	"follicle cell"	102
"61"	"sg2"	"chaeFC-noER"	39	"follicle cell"	102
"62"	"sg3"	"chaeFC-noER"	33	"follicle cell"	102
"63"	"pyg"	"chaeFC-noER"	0	"follicle cell"	102
"64"	"head"	"chaeFC-ER"	0	"follicle cell"	90
"65"	"peristomium"	"chaeFC-ER"	0	"follicle cell"	90
"66"	"sg0"	"chaeFC-ER"	0	"follicle cell"	90
"67"	"sg1"	"chaeFC-ER"	26	"follicle cell"	90
"68"	"sg2"	"chaeFC-ER"	33	"follicle cell"	90
"69"	"sg3"	"chaeFC-ER"	31	"follicle cell"	90
"70"	"pyg"	"chaeFC-ER"	0	"follicle cell"	90
"71"	"head"	"acFC-noER"	0	"follicle cell"	54
"72"	"peristomium"	"acFC-noER"	0	"follicle cell"	54
"73"	"sg0"	"acFC-noER"	0	"follicle cell"	54
"74"	"sg1"	"acFC-noER"	18	"follicle cell"	54
"75"	"sg2"	"acFC-noER"	18	"follicle cell"	54
"76"	"sg3"	"acFC-noER"	18	"follicle cell"	54
"77"	"pyg"	"acFC-noER"	0	"follicle cell"	54
"78"	"head"	"ciliatedGland"	0	"gland cell"	24
"79"	"peristomium"	"ciliatedGland"	0	"gland cell"	24
"80"	"sg0"	"ciliatedGland"	0	"gland cell"	24
"81"	"sg1"	"ciliatedGland"	24	"gland cell"	24
"82"	"sg2"	"ciliatedGland"	0	"gland cell"	24
"83"	"sg3"	"ciliatedGland"	0	"gland cell"	24
"84"	"pyg"	"ciliatedGland"	0	"gland cell"	24
"85"	"head"	"spinMicroGland"	0	"gland cell"	19
"86"	"peristomium"	"spinMicroGland"	0	"gland cell"	19
"87"	"sg0"	"spinMicroGland"	0	"gland cell"	19
"88"	"sg1"	"spinMicroGland"	0	"gland cell"	19
"89"	"sg2"	"spinMicroGland"	9	"gland cell"	19
"90"	"sg3"	"spinMicroGland"	10	"gland cell"	19
"91"	"pyg"	"spinMicroGland"	0	"gland cell"	19
"92"	"head"	"HeadGland"	5	"gland cell"	5
"93"	"peristomium"	"HeadGland"	0	"gland cell"	5
"94"	"sg0"	"HeadGland"	0	"gland cell"	5
"95"	"sg1"	"HeadGland"	0	"gland cell"	5
"96"	"sg2"	"HeadGland"	0	"gland cell"	5
"97"	"sg3"	"HeadGland"	0	"gland cell"	5
"98"	"pyg"	"HeadGland"	0	"gland cell"	5
"99"	"head"	"spinGland"	0	"gland cell"	4
"100"	"head"	"InterparaGland"	0	"gland cell"	4
"101"	"peristomium"	"spinGland"	0	"gland cell"	4
"102"	"peristomium"	"InterparaGland"	0	"gland cell"	4
"103"	"sg0"	"spinGland"	0	"gland cell"	4
"104"	"sg0"	"InterparaGland"	0	"gland cell"	4
"105"	"sg1"	"spinGland"	0	"gland cell"	4
"106"	"sg1"	"InterparaGland"	0	"gland cell"	4
"107"	"sg2"	"spinGland"	2	"gland cell"	4
"108"	"sg2"	"InterparaGland"	2	"gland cell"	4
"109"	"sg3"	"spinGland"	2	"gland cell"	4
"110"	"sg3"	"InterparaGland"	2	"gland cell"	4
"111"	"pyg"	"spinGland"	0	"gland cell"	4
"112"	"pyg"	"InterparaGland"	0	"gland cell"	4
"113"	"head"	"MUSlongD"	0	"muscle"	86
"114"	"peristomium"	"MUSlongD"	0	"muscle"	86
"115"	"sg0"	"MUSlongD"	18	"muscle"	86
"116"	"sg1"	"MUSlongD"	30	"muscle"	86
"117"	"sg2"	"MUSlongD"	20	"muscle"	86
"118"	"sg3"	"MUSlongD"	18	"muscle"	86
"119"	"pyg"	"MUSlongD"	0	"muscle"	86
"120"	"head"	"MUSlongV"	16	"muscle"	82
"121"	"peristomium"	"MUSlongV"	0	"muscle"	82
"122"	"sg0"	"MUSlongV"	9	"muscle"	82
"123"	"sg1"	"MUSlongV"	22	"muscle"	82
"124"	"sg2"	"MUSlongV"	16	"muscle"	82
"125"	"sg3"	"MUSlongV"	17	"muscle"	82
"126"	"pyg"	"MUSlongV"	2	"muscle"	82
"127"	"head"	"MUStrans"	0	"muscle"	62
"128"	"peristomium"	"MUStrans"	0	"muscle"	62
"129"	"sg0"	"MUStrans"	9	"muscle"	62
"130"	"sg1"	"MUStrans"	10	"muscle"	62
"131"	"sg2"	"MUStrans"	18	"muscle"	62
"132"	"sg3"	"MUStrans"	17	"muscle"	62
"133"	"pyg"	"MUStrans"	8	"muscle"	62
"134"	"head"	"MUSph"	0	"muscle"	50
"135"	"peristomium"	"MUSph"	50	"muscle"	50
"136"	"sg0"	"MUSph"	0	"muscle"	50
"137"	"sg1"	"MUSph"	0	"muscle"	50
"138"	"sg2"	"MUSph"	0	"muscle"	50
"139"	"sg3"	"MUSph"	0	"muscle"	50
"140"	"pyg"	"MUSph"	0	"muscle"	50
"141"	"head"	"MUSobA-re"	0	"muscle"	39
"142"	"peristomium"	"MUSobA-re"	0	"muscle"	39
"143"	"sg0"	"MUSobA-re"	0	"muscle"	39
"144"	"sg1"	"MUSobA-re"	11	"muscle"	39
"145"	"sg2"	"MUSobA-re"	14	"muscle"	39
"146"	"sg3"	"MUSobA-re"	14	"muscle"	39
"147"	"pyg"	"MUSobA-re"	0	"muscle"	39
"148"	"head"	"MUSobP-neuV"	0	"muscle"	38
"149"	"peristomium"	"MUSobP-neuV"	0	"muscle"	38
"150"	"sg0"	"MUSobP-neuV"	0	"muscle"	38
"151"	"sg1"	"MUSobP-neuV"	10	"muscle"	38
"152"	"sg2"	"MUSobP-neuV"	13	"muscle"	38
"153"	"sg3"	"MUSobP-neuV"	15	"muscle"	38
"154"	"pyg"	"MUSobP-neuV"	0	"muscle"	38
"155"	"head"	"MUSobP-notD"	0	"muscle"	28
"156"	"head"	"MUSchae-neuDac"	0	"muscle"	28
"157"	"peristomium"	"MUSobP-notD"	0	"muscle"	28
"158"	"peristomium"	"MUSchae-neuDac"	0	"muscle"	28
"159"	"sg0"	"MUSobP-notD"	0	"muscle"	28
"160"	"sg0"	"MUSchae-neuDac"	0	"muscle"	28
"161"	"sg1"	"MUSobP-notD"	8	"muscle"	28
"162"	"sg1"	"MUSchae-neuDac"	8	"muscle"	28
"163"	"sg2"	"MUSobP-notD"	10	"muscle"	28
"164"	"sg2"	"MUSchae-neuDac"	10	"muscle"	28
"165"	"sg3"	"MUSobP-notD"	10	"muscle"	28
"166"	"sg3"	"MUSchae-neuDac"	10	"muscle"	28
"167"	"pyg"	"MUSobP-notD"	0	"muscle"	28
"168"	"pyg"	"MUSchae-neuDac"	0	"muscle"	28
"169"	"head"	"MUSchae-notAac"	0	"muscle"	24
"170"	"peristomium"	"MUSchae-notAac"	0	"muscle"	24
"171"	"sg0"	"MUSchae-notAac"	0	"muscle"	24
"172"	"sg1"	"MUSchae-notAac"	8	"muscle"	24
"173"	"sg2"	"MUSchae-notAac"	8	"muscle"	24
"174"	"sg3"	"MUSchae-notAac"	8	"muscle"	24
"175"	"pyg"	"MUSchae-notAac"	0	"muscle"	24
"176"	"head"	"MUSobP-neuDdist"	0	"muscle"	19
"177"	"peristomium"	"MUSobP-neuDdist"	0	"muscle"	19
"178"	"sg0"	"MUSobP-neuDdist"	0	"muscle"	19
"179"	"sg1"	"MUSobP-neuDdist"	6	"muscle"	19
"180"	"sg2"	"MUSobP-neuDdist"	6	"muscle"	19
"181"	"sg3"	"MUSobP-neuDdist"	7	"muscle"	19
"182"	"pyg"	"MUSobP-neuDdist"	0	"muscle"	19
"183"	"head"	"MUSac-neuPD"	0	"muscle"	18
"184"	"head"	"MUSac-neuDach"	0	"muscle"	18
"185"	"head"	"MUSobA-arc"	0	"muscle"	18
"186"	"head"	"MUSobP-neuDprox"	0	"muscle"	18
"187"	"head"	"MUSobP-notV"	0	"muscle"	18
"188"	"head"	"MUSchae-notDob"	0	"muscle"	18
"189"	"peristomium"	"MUSac-neuPD"	0	"muscle"	18
"190"	"peristomium"	"MUSac-neuDach"	0	"muscle"	18
"191"	"peristomium"	"MUSobA-arc"	0	"muscle"	18
"192"	"peristomium"	"MUSobP-neuDprox"	0	"muscle"	18
"193"	"peristomium"	"MUSobP-notV"	0	"muscle"	18
"194"	"peristomium"	"MUSchae-notDob"	0	"muscle"	18
"195"	"sg0"	"MUSac-neuPD"	0	"muscle"	18
"196"	"sg0"	"MUSac-neuDach"	0	"muscle"	18
"197"	"sg0"	"MUSobA-arc"	0	"muscle"	18
"198"	"sg0"	"MUSobP-neuDprox"	0	"muscle"	18
"199"	"sg0"	"MUSobP-notV"	0	"muscle"	18
"200"	"sg0"	"MUSchae-notDob"	0	"muscle"	18
"201"	"sg1"	"MUSac-neuPD"	6	"muscle"	18
"202"	"sg1"	"MUSac-neuDach"	6	"muscle"	18
"203"	"sg1"	"MUSobA-arc"	4	"muscle"	18
"204"	"sg1"	"MUSobP-neuDprox"	6	"muscle"	18
"205"	"sg1"	"MUSobP-notV"	6	"muscle"	18
"206"	"sg1"	"MUSchae-notDob"	6	"muscle"	18
"207"	"sg2"	"MUSac-neuPD"	6	"muscle"	18
"208"	"sg2"	"MUSac-neuDach"	6	"muscle"	18
"209"	"sg2"	"MUSobA-arc"	8	"muscle"	18
"210"	"sg2"	"MUSobP-neuDprox"	6	"muscle"	18
"211"	"sg2"	"MUSobP-notV"	6	"muscle"	18
"212"	"sg2"	"MUSchae-notDob"	6	"muscle"	18
"213"	"sg3"	"MUSac-neuPD"	6	"muscle"	18
"214"	"sg3"	"MUSac-neuDach"	6	"muscle"	18
"215"	"sg3"	"MUSobA-arc"	6	"muscle"	18
"216"	"sg3"	"MUSobP-neuDprox"	6	"muscle"	18
"217"	"sg3"	"MUSobP-notV"	6	"muscle"	18
"218"	"sg3"	"MUSchae-notDob"	6	"muscle"	18
"219"	"pyg"	"MUSac-neuPD"	0	"muscle"	18
"220"	"pyg"	"MUSac-neuDach"	0	"muscle"	18
"221"	"pyg"	"MUSobA-arc"	0	"muscle"	18
"222"	"pyg"	"MUSobP-neuDprox"	0	"muscle"	18
"223"	"pyg"	"MUSobP-notV"	0	"muscle"	18
"224"	"pyg"	"MUSchae-notDob"	0	"muscle"	18
"225"	"head"	"MUSac-neuAV"	0	"muscle"	16
"226"	"head"	"MUSchae-neuVob"	0	"muscle"	16
"227"	"head"	"MUSchae-neuAVo"	0	"muscle"	16
"228"	"peristomium"	"MUSac-neuAV"	0	"muscle"	16
"229"	"peristomium"	"MUSchae-neuVob"	0	"muscle"	16
"230"	"peristomium"	"MUSchae-neuAVo"	0	"muscle"	16
"231"	"sg0"	"MUSac-neuAV"	0	"muscle"	16
"232"	"sg0"	"MUSchae-neuVob"	0	"muscle"	16
"233"	"sg0"	"MUSchae-neuAVo"	0	"muscle"	16
"234"	"sg1"	"MUSac-neuAV"	4	"muscle"	16
"235"	"sg1"	"MUSchae-neuVob"	4	"muscle"	16
"236"	"sg1"	"MUSchae-neuAVo"	4	"muscle"	16
"237"	"sg2"	"MUSac-neuAV"	6	"muscle"	16
"238"	"sg2"	"MUSchae-neuVob"	6	"muscle"	16
"239"	"sg2"	"MUSchae-neuAVo"	6	"muscle"	16
"240"	"sg3"	"MUSac-neuAV"	6	"muscle"	16
"241"	"sg3"	"MUSchae-neuVob"	6	"muscle"	16
"242"	"sg3"	"MUSchae-neuAVo"	6	"muscle"	16
"243"	"pyg"	"MUSac-neuAV"	0	"muscle"	16
"244"	"pyg"	"MUSchae-neuVob"	0	"muscle"	16
"245"	"pyg"	"MUSchae-neuAVo"	0	"muscle"	16
"246"	"head"	"MUSac-neuPV"	0	"muscle"	14
"247"	"peristomium"	"MUSac-neuPV"	0	"muscle"	14
"248"	"sg0"	"MUSac-neuPV"	0	"muscle"	14
"249"	"sg1"	"MUSac-neuPV"	4	"muscle"	14
"250"	"sg2"	"MUSac-neuPV"	6	"muscle"	14
"251"	"sg3"	"MUSac-neuPV"	4	"muscle"	14
"252"	"pyg"	"MUSac-neuPV"	0	"muscle"	14
"253"	"head"	"MUSac-notA"	0	"muscle"	12
"254"	"head"	"MUSac-notP"	0	"muscle"	12
"255"	"head"	"MUSac-notM"	0	"muscle"	12
"256"	"head"	"MUSobA-mpp"	0	"muscle"	12
"257"	"head"	"MUSax"	0	"muscle"	12
"258"	"peristomium"	"MUSac-notA"	0	"muscle"	12
"259"	"peristomium"	"MUSac-notP"	0	"muscle"	12
"260"	"peristomium"	"MUSac-notM"	0	"muscle"	12
"261"	"peristomium"	"MUSobA-mpp"	0	"muscle"	12
"262"	"peristomium"	"MUSax"	0	"muscle"	12
"263"	"sg0"	"MUSac-notA"	0	"muscle"	12
"264"	"sg0"	"MUSac-notP"	0	"muscle"	12
"265"	"sg0"	"MUSac-notM"	0	"muscle"	12
"266"	"sg0"	"MUSobA-mpp"	0	"muscle"	12
"267"	"sg0"	"MUSax"	0	"muscle"	12
"268"	"sg1"	"MUSac-notA"	4	"muscle"	12
"269"	"sg1"	"MUSac-notP"	4	"muscle"	12
"270"	"sg1"	"MUSac-notM"	4	"muscle"	12
"271"	"sg1"	"MUSobA-mpp"	2	"muscle"	12
"272"	"sg1"	"MUSax"	8	"muscle"	12
"273"	"sg2"	"MUSac-notA"	4	"muscle"	12
"274"	"sg2"	"MUSac-notP"	4	"muscle"	12
"275"	"sg2"	"MUSac-notM"	4	"muscle"	12
"276"	"sg2"	"MUSobA-mpp"	4	"muscle"	12
"277"	"sg2"	"MUSax"	2	"muscle"	12
"278"	"sg3"	"MUSac-notA"	4	"muscle"	12
"279"	"sg3"	"MUSac-notP"	4	"muscle"	12
"280"	"sg3"	"MUSac-notM"	4	"muscle"	12
"281"	"sg3"	"MUSobA-mpp"	6	"muscle"	12
"282"	"sg3"	"MUSax"	2	"muscle"	12
"283"	"pyg"	"MUSac-notA"	0	"muscle"	12
"284"	"pyg"	"MUSac-notP"	0	"muscle"	12
"285"	"pyg"	"MUSac-notM"	0	"muscle"	12
"286"	"pyg"	"MUSobA-mpp"	0	"muscle"	12
"287"	"pyg"	"MUSax"	0	"muscle"	12
"288"	"head"	"MUSobA-lpp"	0	"muscle"	10
"289"	"head"	"MUSobA-trans"	0	"muscle"	10
