"presynaptic"	"postsynaptic"	"synapses"
"1"	"PRC left"	"PRC"	11
"2"	"PRC right"	"PRC"	10
"3"	"PRC left"	"IN1"	164
"4"	"PRC right"	"IN1"	143
"5"	"PRC left"	"INton"	0
"6"	"PRC right"	"INton"	1
"7"	"PRC left"	"INpreSer"	0
"8"	"PRC right"	"INpreSer"	0
"9"	"PRC left"	"cPRC"	0
"10"	"PRC right"	"cPRC"	0
"11"	"PRC left"	"INRGWa"	0
"12"	"PRC right"	"INRGWa"	0
"13"	"PRC left"	"INNOS"	0
"14"	"PRC right"	"INNOS"	0
"15"	"PRC left"	"Ser-h1"	0
"16"	"PRC right"	"Ser-h1"	0
"17"	"PRC left"	"MC"	0
"18"	"PRC right"	"MC"	0
"19"	"PRC left"	"cMNPDF-vcl1"	0
"20"	"PRC right"	"cMNPDF-vcl1"	0
"21"	"PRC left"	"cMNATO"	0
"22"	"PRC right"	"cMNATO"	0
"23"	"PRC left"	"cMNdc"	0
"24"	"PRC right"	"cMNdc"	0
"25"	"PRC left"	"SNnuchPDF"	0
"26"	"PRC right"	"SNnuchPDF"	0
"27"	"PRC left"	"SNnuchNS"	0
"28"	"PRC right"	"SNnuchNS"	0
"29"	"PRC left"	"SNnuchBx"	0
"30"	"PRC right"	"SNnuchBx"	0
"31"	"PRC left"	"SNgolden"	0
"32"	"PRC right"	"SNgolden"	0
"33"	"PRC left"	"SNhorn"	0
"34"	"PRC right"	"SNhorn"	0
"35"	"PRC left"	"SNhook"	0
"36"	"PRC right"	"SNhook"	0
"37"	"PRC left"	"MNant"	0
"38"	"PRC right"	"MNant"	0
"39"	"PRC left"	"SNlasso"	0
"40"	"PRC right"	"SNlasso"	0
"41"	"PRC left"	"INlasso"	0
"42"	"PRC right"	"INlasso"	0
"43"	"PRC left"	"INdecussPre"	0
"44"	"PRC right"	"INdecussPre"	0
"45"	"PRC left"	"INpreMN"	0
"46"	"PRC right"	"INpreMN"	0
"47"	"PRC left"	"SNMIP-vc"	0
"48"	"PRC right"	"SNMIP-vc"	0
"49"	"PRC left"	"SNmus"	0
"50"	"PRC right"	"SNmus"	0
"51"	"PRC left"	"SNantlerPDF"	0
"52"	"PRC right"	"SNantlerPDF"	0
"53"	"PRC left"	"SNPDF-dc"	0
"54"	"PRC right"	"SNPDF-dc"	0
"55"	"PRC left"	"SN0DLSO1.2-4"	0
"56"	"PRC right"	"SN0DLSO1.2-4"	0
"57"	"PRC left"	"SN-DLSO1.2-3"	0
"58"	"PRC right"	"SN-DLSO1.2-3"	0
"59"	"PRC left"	"SN-DLSO1.2-1"	0
"60"	"PRC right"	"SN-DLSO1.2-1"	0
"61"	"PRC left"	"SN-DLSO2"	0
"62"	"PRC right"	"SN-DLSO2"	0
"63"	"PRC left"	"SNMB2"	0
"64"	"PRC right"	"SNMB2"	0
"65"	"PRC left"	"eyespot-PRCR3"	0
"66"	"PRC right"	"eyespot-PRCR3"	0
"67"	"PRC left"	"eyespot-PRCR1"	0
"68"	"PRC right"	"eyespot-PRCR1"	0
"69"	"PRC left"	"MS1"	0
"70"	"PRC right"	"MS1"	0
"71"	"PRC left"	"MS4"	0
"72"	"PRC right"	"MS4"	0
"73"	"PRC left"	"MS3"	0
"74"	"PRC right"	"MS3"	0
"75"	"PRC left"	"MS5"	0
"76"	"PRC right"	"MS5"	0
"77"	"PRC left"	"SN-ASTC"	0
"78"	"PRC right"	"SN-ASTC"	0
"79"	"PRC left"	"SN-DLSO3-PDF"	0
"80"	"PRC right"	"SN-DLSO3-PDF"	0
"81"	"PRC left"	"SN-DLSO3"	0
"82"	"PRC right"	"SN-DLSO3"	0
"83"	"PRC left"	"MC2biax-1"	0
"84"	"PRC right"	"MC2biax-1"	0
"85"	"PRC left"	"SN-IRP2-burs"	0
"86"	"PRC right"	"SN-IRP2-burs"	0
"87"	"PRC left"	"SN-IRP2-FMRF"	0
"88"	"PRC right"	"SN-IRP2-FMRF"	0
"89"	"PRC left"	"SN-MIP4"	0
"90"	"PRC right"	"SN-MIP4"	0
"91"	"PRC left"	"SN-MIP1"	0
