"left"	"right"	"correlation"
"1"	"PRC left"	"PRC right"	0.790610470654828
"2"	"PRC left"	"IN1 right"	0.916206087958219
"3"	"PRC left"	"INton right"	0.205464623439888
"4"	"PRC left"	"INpreSer right"	0.114184494778814
"5"	"PRC left"	"cPRC right"	0.143299387565937
"6"	"PRC left"	"INRGWa right"	0.00861583200798972
"7"	"PRC left"	"INNOS right"	0.0816021883079571
"8"	"PRC left"	"Ser-h1 right"	-0.00181831637213148
"9"	"PRC left"	"SNnuchPDF right"	-0.0021737093748994
"10"	"PRC left"	"SNnuchBx right"	-0.00886461740399025
"11"	"PRC left"	"SNgolden right"	-0.00379699100387304
"12"	"PRC left"	"SNhorn right"	0.00371676619830384
"13"	"PRC left"	"SNhook right"	-0.0137352673659395
"14"	"PRC left"	"MNant right"	0.0264492563538213
"15"	"PRC left"	"SNlasso right"	-0.0157639047866424
"16"	"PRC left"	"INlasso right"	-0.0159553141512088
"17"	"PRC left"	"INdecussPre right"	-0.0132893859321167
"18"	"PRC left"	"INpreMN right"	-0.0168735108542224
"19"	"PRC left"	"SNMIP-vc right"	-0.012332643102357
"20"	"PRC left"	"SNmus right"	-0.0155277087953725
"21"	"PRC left"	"SNantlerPDF right"	-0.019689642956376
"22"	"PRC left"	"SNPDF-dc right"	-0.00565446883446212
"23"	"PRC left"	"SN0DLSO1.2-4 right"	0.00235430446897085
"24"	"PRC left"	"SN-DLSO1.2-3 right"	-0.0134114117555818
"25"	"PRC left"	"SN-DLSO1.2-1 right"	-0.0200458703448341
"26"	"PRC left"	"SN-DLSO2 right"	-0.0148478670839514
"27"	"PRC left"	"SNMB2 right"	-0.0164065143579897
"28"	"PRC left"	"eyespot-PRCR3 right"	-0.0158938486001346
"29"	"PRC left"	"eyespot-PRCR1 right"	-0.0209442949538921
"30"	"PRC left"	"MS3 right"	-0.0185825796227488
"31"	"PRC left"	"MS5 right"	-0.010036979304076
"32"	"PRC left"	"SN-ASTC right"	-0.0174228126938144
"33"	"PRC left"	"SN-DLSO3-PDF right"	-0.0107640074203692
"34"	"PRC left"	"SN-DLSO3 right"	-0.0224196925562377
"35"	"PRC left"	"SN-MIP4 right"	-0.00886461740399025
"36"	"PRC left"	"SN-MIP1 right"	-0.0158954949387649
"37"	"PRC left"	"MNspinning right"	-0.0142774708500867
"38"	"PRC left"	"SN-WLD right"	-0.0184713404222246
"39"	"PRC left"	"SN-DSO right"	-0.0213427745729044
"40"	"PRC left"	"SNbicil right"	-0.0115449649028575
"41"	"PRC left"	"INCrossbow right"	0.05472890917472
"42"	"PRC left"	"INarc1 right"	-0.0150376071356486
"43"	"PRC left"	"INarc2 right"	0.0664976428026493
"44"	"PRC left"	"INsn right"	-0.0227700569115464
"45"	"PRC left"	"INrope right"	-0.0211300173844925
"46"	"PRC left"	"Loop right"	-0.0195554517807035
"47"	"PRC left"	"INCM right"	-0.0180683831615318
"48"	"PRC left"	"MNspider-ant right"	-0.0145433464939815
"49"	"PRC left"	"MNspider-post right"	-0.0127517940849052
"50"	"PRC left"	"MNbiramous right"	0.00487946942092056
"51"	"PRC left"	"MNring right"	-0.0186989886714614
"52"	"PRC left"	"MNcrab right"	-0.0186617875989925
"53"	"PRC left"	"MNhose right"	0.00933027634720776
"54"	"PRC left"	"MNbow right"	-0.0133440413324094
"55"	"PRC left"	"MNwave right"	-0.0146047280302582
"56"	"PRC left"	"MNacicX right"	-0.0126242914633398
"57"	"PRC left"	"INchaeMech right"	-0.0139647661561772
"58"	"PRC left"	"chaeMech right"	-0.0142152998562552
"59"	"PRC left"	"INFVa-pyg right"	-0.0134063334765627
"60"	"PRC left"	"INsplitCR right"	-0.0167533730087182
"61"	"PRC left"	"INsplitCRATO right"	-0.0227700569115464
"62"	"PRC left"	"INMC3 right"	-0.0136723620174335
"63"	"PRC left"	"INbiax right"	-0.0120179148263597
"64"	"PRC left"	"INsplitPB-RF/Ya right"	-0.0161236817062342
"65"	"PRC left"	"INsplitPBant right"	-0.0140486035651772
"66"	"PRC left"	"INsplitPB right"	-0.0203384790625238
"67"	"PRC left"	"PB right"	-0.0225122286824019
"68"	"PRC left"	"interparaPM1 right"	-0.011663297198194
"69"	"PRC left"	"cioMNcover right"	-0.017333516169816
"70"	"PRC left"	"INsplitPUh right"	-0.0197135699760215
"71"	"PRC left"	"MN3 right"	-0.0244918772758377
"72"	"PRC left"	"MN1 right"	-0.017878851256367
"73"	"PRC left"	"MN2 right"	-0.0184355909020624
"74"	"PRC left"	"MC3cover right"	-0.017878851256367
"75"	"PRC left"	"antPUc right"	-0.0107348140070992
"76"	"PRC left"	"spinPU right"	-0.0145433464939815
"77"	"PRC left"	"trochPU right"	-0.0154399850323632
"78"	"PRC left"	"hPUc1 right"	-0.00937292162145994
"79"	"PRC left"	"pygCirrusPUSM right"	-0.0146047280302582
"80"	"PRC left"	"hCirrusPU right"	0.0108195752108446
"81"	"PRC left"	"parapodPU right"	-0.00621250282148038
"82"	"PRC left"	"hPU right"	0.131646188170675
"83"	"PRC left"	"dsoPU right"	-0.0195554517807035
"84"	"PRC left"	"pygCirrusPU right"	-0.0142986303773286
"85"	"PRC left"	"hCR right"	-0.0153947557042385
"86"	"PRC left"	"ventralpygCR right"	-0.0262425082985788
"87"	"PRC left"	"SN-DLSO1.0 right"	-0.00982459901058082
"88"	"PRC left"	"INdc right"	-0.0139132691985236
"89"	"PRC left"	"INbackcross right"	0.00864596907394518
"90"	"PRC left"	"MNcommUpL right"	-0.0108265983229738
"91"	"PRC left"	"MNob-ipsi right"	-0.00725448774553941
"92"	"PRC left"	"INbiaxLeg right"	-0.0261277115766344
"93"	"PRC left"	"INbiaxH right"	-0.01162305994097
"94"	"PRC left"	"SN-NS1 right"	-0.00962091110789987
"95"	"PRC left"	"SN-NS3 right"	NA
"96"	"PRC left"	"SN-NS15 right"	-0.0115832938196006
"97"	"PRC left"	"SNaant right"	-0.0150812813861718
"98"	"PRC left"	"SNPDF-pyg right"	-0.0155497975043693
"99"	"PRC left"	"INfoot right"	-0.0140256634774333
"100"	"PRC left"	"INW right"	0.00117978657036052
"101"	"PRC left"	"INmidL right"	-0.0125714314369392
"102"	"PRC left"	"INhook right"	-0.00998558138076181
"103"	"PRC left"	"INMBtype6 right"	-0.0186264456763362
"104"	"PRC left"	"INMBtype5 right"	-0.017878851256367
"105"	"PRC left"	"INMBtype7 right"	-0.0211636312532316
"106"	"PRC left"	"INcross right"	-0.0167086162024988
"107"	"PRC left"	"INpro right"	-0.0190883541195779
"108"	"PRC left"	"INproT2 right"	-0.0179902978449358
"109"	"PRC left"	"INpear right"	-0.0108865354219212
"110"	"PRC left"	"INZ right"	-0.021160271974649
"111"	"PRC left"	"MNpostv right"	-0.0101717484749348
"112"	"PRC left"	"SN-NS22 right"	0.102929093788728
"113"	"PRC left"	"SN-NS5 right"	-0.0192666238062926
"114"	"PRC left"	"SN-NS17 right"	-0.0156400604772709
"115"	"PRC left"	"SN-NS19 right"	-0.0129259100015361
"116"	"PRC left"	"SN-NS20 right"	-0.0202930704589093
"117"	"PRC left"	"SN-NS29 right"	-0.0128964262024274
"118"	"PRC left"	"SN-NS27 right"	-0.000771652118357127
"119"	"PRC left"	"SN-NS18 right"	-0.0105174031103551
"120"	"PRC left"	"SN-NS16 right"	-0.0115261739926977
"121"	"PRC left"	"INbigloop right"	-0.010177854981618
"122"	"PRC left"	"SNadNS22 right"	-0.0125714314369392
"123"	"PRC left"	"Ser-tr1 right"	-0.0116506287887481
"124"	"PRC left"	"SNFVa right"	-0.0144933981340454
"125"	"PRC left"	"INUturn right"	-0.0239408465438166
"126"	"PRC left"	"INcomm-Upstairs right"	-0.0149390279176075
"127"	"PRC left"	"INasc-pyg right"	-0.0226505270726022
"128"	"PRC left"	"SNblunt right"	-0.0172759554632729
"129"	"PRC left"	"INsplitBronto right"	-0.0107640074203692
"130"	"PRC left"	"INleucoPU right"	-0.0168735108542224
"131"	"PRC left"	"MNladder right"	-0.0148478670839514
"132"	"PRC left"	"INdecussfoot right"	-0.0169422346108072
"133"	"PRC left"	"INdecusshook right"	-0.0146963481022372
"134"	"PRC left"	"INpreLadder right"	-0.0162904336097616
"135"	"PRC left"	"INcomm-Upcross right"	-0.0188916406510802
"136"	"PRC left"	"MNacic right"	-0.0168735108542224
"137"	"PRC left"	"INsplitVent right"	-0.0200458703448341
"138"	"PRC left"	"INcomm-DownL right"	-0.00939645171471333
"139"	"PRC left"	"MNarm right"	-0.018990226768139
"140"	"PRC left"	"INlasso-postSN right"	-0.0189824417991409
"141"	"PRC left"	"MNantacic right"	-0.0142469619221978
"142"	"PRC left"	"MNpostacic right"	-0.00742336417542028
"143"	"PRC left"	"SN-DLSO1.3 right"	0.0049350009100563
"144"	"PRC left"	"MNakro right"	-0.0221365770766733
"145"	"PRC left"	"MNchae right"	0.0617816951969146
"146"	"PRC left"	"MNgland-head right"	-0.0127005115490485
"147"	"PRC left"	"SNstiff right"	0.366454059683877
"148"	"PRC left"	"SNbronto right"	-0.0125714314369392
"149"	"PRC left"	"INcommascFV right"	-0.0142986303773286
"150"	"PRC left"	"SNpygM right"	-0.0066943131905647
"151"	"PRC left"	"INR1 right"	-0.0184791236681952
"152"	"PRC left"	"SN-DLSO1.1NP right"	-0.0154399850323632
"153"	"PRC left"	"SN-DLSO1.1 right"	-0.0160034110694908
"154"	"PRC left"	"INmus right"	-0.0123246548318854
"155"	"PRC left"	"INdescLuqinPDF right"	-0.00970802781208121
"156"	"PRC left"	"INcosplit right"	-0.00800454023990677
"157"	"PRC left"	"INcommdescFVa right"	-0.0112407642156999
"158"	"PRC left"	"MNheadV right"	-0.0169422346108072
"159"	"PRC left"	"INbiaxHmid right"	0.111720403445325
"160"	"PRC left"	"MNantelope right"	-0.0112316877382148
"161"	"PRC left"	"MNsmile right"	-0.00886461740399025
"162"	"PRC left"	"INhorn right"	-0.0157777022468334
"163"	"PRC left"	"INMBPDF right"	-0.0140749591446003
"164"	"PRC left"	"INMBdescFMRF right"	-0.0116296061983772
"165"	"PRC left"	"INDLSO right"	-0.00948953689535835
