"","cMNPDF","SNnuch","INMBPDF","SNantlerPDF","SNPDF-pyg","SNPDF-dc","SN-DLSO3-PDF","cMNdc","INdescLuqinPDF","hPU2l-asymPDF","INarc1","INarc2","INdecussM","MN3","MNant","SNpygM","SN-DLSO1.3","cMNATO","MNspinning","INrope"
"cMNPDF",0,0,1,1,0,0,0,11,0,0,2,2,0,1,1,0,0,13,0,1
"SNnuch",0,36,0,0,0,1,2,0,0,0,44,44,0,0,2,0,0,3,0,0
"INMBPDF",0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0
"SNantlerPDF",0,0,0,0,0,0,0,2,0,0,1,0,0,38,25,0,0,0,0,0
"SNPDF-pyg",0,0,5,0,0,0,0,3,8,0,0,0,0,0,3,0,0,0,1,1
"SNPDF-dc",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"SN-DLSO3-PDF",0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"cMNdc",2,0,0,0,0,0,0,0,1,0,11,2,0,0,10,0,0,0,0,0
"INdescLuqinPDF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0
"hPU2l-asymPDF",2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4
"INarc1",0,0,3,0,0,0,0,1,1,0,0,1,3,0,3,0,0,0,0,0
"INarc2",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0
"INdecussM",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"MN3",0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,1
"MNant",0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0
"SNpygM",0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SN-DLSO1.3",0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"cMNATO",2,5,0,0,0,0,10,10,0,1,0,6,0,0,2,0,0,0,0,0
"MNspinning",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"INrope",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
