"","INATOpyg","MNspider-ant","INsplitCRATO","INpreLadderATO","Ser-tr1","INrope","muscle","MNladder","INleucoPU","trochPU","INsplitPB","INtorii","SNtorii","MNwave","MNcommUpL","ciliary band"
"INATOpyg",3,0,0,2,8,0,0,1,0,0,0,0,0,0,0,0
"MNspider-ant",0,0,0,0,0,1,183,1,0,0,0,0,0,1,0,0
"INsplitCRATO",2,2,1,0,0,1,0,0,0,0,0,0,0,1,3,0
"INpreLadderATO",0,0,0,0,1,0,0,49,0,0,0,0,0,1,0,0
"Ser-tr1",0,0,0,0,0,0,6,0,0,0,1,1,0,0,0,438
"INrope",0,21,4,0,0,0,0,0,4,0,0,0,0,1,11,0
"muscle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNladder",0,0,0,3,0,0,11,0,1,0,0,0,0,0,0,0
"INleucoPU",0,1,0,0,0,0,0,26,0,5,0,0,0,25,19,0
"trochPU",0,1,0,1,4,0,3,17,23,6,6,0,0,0,0,1
"INsplitPB",0,4,1,0,0,1,0,0,14,2,60,0,0,0,0,0
"INtorii",0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0
"SNtorii",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"MNwave",0,0,0,0,0,0,91,0,0,0,0,0,0,2,0,0
"MNcommUpL",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"ciliary band",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
