"","Dorsal_SO","Adult_eye","nuchal","DLSO","SNMB","eyespot","AO_SN","visualIN","AO_IN","INdesc_decus","INcentrHead"," INMBproj","INMBintr","vMN","ciliomotor"
"Dorsal_SO",19,0,29,12,0,0,0,0,0,0,0,0,0,0,0
"Adult_eye",0,21,0,0,12,0,0,324,0,0,0,0,0,0,0
"nuchal",0,0,53,13,0,0,13,0,19,103,52,0,0,0,0
"DLSO",0,0,22,131,22,0,34,0,0,28,90,0,0,0,0
"SNMB",0,0,14,72,69,0,15,0,28,53,148,65,29,0,47
"eyespot",0,0,0,0,0,0,0,19,0,0,0,0,0,43,0
"AO_SN",0,0,19,27,75,0,176,0,172,31,37,0,0,0,0
"visualIN",0,0,0,11,0,0,0,149,0,0,31,0,0,0,0
"AO_IN",0,0,0,0,0,0,0,0,114,15,85,0,0,0,78
"INdesc_decus",0,0,0,0,0,0,0,0,0,274,43,34,0,16,34
"INcentrHead",0,0,0,20,20,0,0,0,24,378,545,52,72,232,75
" INMBproj",0,0,0,0,0,0,0,0,0,43,0,30,0,0,13
"INMBintr",0,0,0,0,0,0,0,0,0,84,101,19,10,0,13
"vMN",0,0,0,0,0,0,0,0,0,13,0,0,0,66,0
"ciliomotor",0,0,0,12,0,0,0,0,13,66,42,16,0,0,184
