"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"SNhook",2.11977227231857,2.71368948247078,3,3,2.71368948247078,2.28631051752922,2,2,2,2,2.28631051752922,2.42737896494157,2.28631051752922,2.28631051752921,3.85893155258765,4.70951585976628,4.43155258764608,4,4.42737896494157,4.85893155258765,4.85475792988314,4.85893155258765,3.85475792988314,2.57262103505843,1.28631051752922,0.713689482470786,0.286310517529215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNlasso",2,2,2,2,2,2,2,4.86310517529215,7.41903171953255,6.85893155258765,3.85893155258765,2.71368948247078,2.28631051752922,2.57262103505843,3.14106844741235,3,2.57262103505843,2.71368948247078,3.57262103505843,7.57679465776294,11.4190317195326,11.8589315525876,7.85475792988314,4.14524207011686,1.85893155258765,2,2.14106844741235,1.85893155258765,1.71368948247078,2.28631051752922,1.85475792988314,0.858931552587646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNtorii",3,3,2.71368948247078,2.28631051752922,2,2,2,2,2,2,2,2,2,3.14524207011686,3.70951585976628,3.14524207011686,2.28631051752922,2.42737896494157,2.28631051752922,2,2,1.71368948247078,1.28631051752922,1,1,1,1,1.28631051752922,1.71368948247078,2,3.14524207011686,3.99582637729549,4.14524207011686,4,4.14106844741235,3.00000000000001,1.57262103505843,1.28631051752922,1.42737896494157,1.28631051752922,1,1,1.28631051752922,1.42737896494157,1.85893155258765,1.85475792988314,1.85893155258765,1.42737896494157,1.28631051752922,1,1,1.28631051752922,1.42737896494157,1,0.286310517529215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SN_NS1",2.23954454463713,2.42737896494157,2.28631051752922,2.57262103505843,3.14106844741235,3,2.28631051752922,2.28631051752922,2.71368948247078,2.71368948247078,2.28631051752922,2.28631051752922,2.42737896494157,2.28631051752922,2.28631051752922,3,3.14106844741235,2.57262103505843,2,2.85893155258765,3.56844741235392,3.85893155258765,3.42737896494157,3.28631051752922,3,3.28631051752921,4,6.43155258764608,10.7136894824708,11.7053422370618,8.86310517529215,6,6.28631051752922,5.85475792988314,4.28631051752922,3.43155258764607,3.56844741235392,2.71368948247078,0.858931552587646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SN_NS17",2.11977227231857,2.71368948247078,2.71368948247078,2.28631051752922,2,2,2,2,2,2,2,2,2,2,2,2,2,2.28631051752922,2.42737896494157,3.71786310517529,4.70951585976628,4.28631051752922,3.14524207011686,3.14106844741235,3,2.28631051752922,2,3.71786310517529,6.56844741235391,7.85475792988314,7.14524207011686,5.85475792988314,4.57262103505843,3,1.71368948247078,0.572621035058438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SN_NS18",3.23954454463713,3.42737896494157,3.28631051752922,3,2.71368948247078,2.28631051752922,2,2,2,2,2,2,2.28631051752922,2.71368948247078,2.42737896494157,1.57262103505843,1,1,1,1.28631051752922,1.71368948247078,2,1.71368948247078,1.57262103505843,1.71368948247078,2,1.71368948247078,1.28631051752922,1.28631051752921,1.71368948247078,1.71368948247078,1.57262103505843,1.42737896494157,1.57262103505843,1.42737896494157,2.14524207011685,2.85475792988314,4.14524207011686,6.85893155258765,8.85058430717863,8.71786310517529,8,8.14106844741235,8.43155258764608,8.85475792988314,9.28631051752922,6.99582637729549,3.43155258764608,0.572621035058431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SN_NS19",2.11977227231857,2.71368948247078,2.71368948247078,2.28631051752922,2,2,2,2,2,2.28631051752922,2.71368948247078,2.71368948247078,2.28631051752922,2.57262103505843,2.56844741235392,2.14524207011686,1.42737896494157,1.28631051752922,1,1,1.28631051752922,1.42737896494157,1.28631051752922,1,1,1,1,1,1,1,1,1.57262103505843,1.85475792988314,1.57262103505843,1.28631051752922,4.00417362270448,9.42737896494157,12.5642737896494,10,7.43572621035058,6.2779632721202,4.43155258764608,2.43155258764608,4.57262103505843,5.56427378964942,4.00417362270451,2,1.71368948247078,1.85893155258765,2.14106844741235,2.28631051752922,1.71368948247078,1.00000000000001,0.286310517529215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SN_NS27",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.28631051752922,2.42737896494157,2.28631051752922,2,2,2,2,2,2,2,2,2,2.57262103505843,3.42737896494157,3.14106844741235,2.14524207011686,1.71368948247078,2,3.14524207011686,5.42737896494157,7.71368948247077,9,10,11.2863105175292,10.4232053422371,7.71786310517529,4.14106844741235,2.14524207011686,1,0.713689482470785,0.286310517529215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INMBtype1",2,2,1.71368948247078,1.28631051752922,1,1,1,1,1,1,1,1.28631051752922,2,2.42737896494157,2,1.57262103505843,1.42737896494157,1.28631051752922,1.28631051752922,1.71368948247078,2.85893155258765,3.85475792988314,4,2.71368948247078,1.57262103505843,1.57262103505843,1.85475792988314,1.57262103505843,1,1,1,1.57262103505843,2.42737896494157,3,3.28631051752922,2.85475792988315,1.57262103505843,0.286310517529215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INMBtype2",2.88022772768143,2.28631051752922,2,2,2,1.71368948247078,1.28631051752922,1,1,1,1,1,1,1,1.28631051752922,1.42737896494157,1.28631051752922,1.28631051752922,1.71368948247078,1.71368948247078,1.57262103505843,1.71368948247078,1.71368948247078,1.28631051752922,1.28631051752922,1.42737896494157,1.85893155258765,1.85475792988314,1.85893155258765,1.71368948247078,1.71368948247078,1.57262103505843,1.71368948247078,2.85893155258765,3.56844741235392,3.00000000000001,1.85893155258765,1.42737896494157,1.28631051752922,1,1,1.57262103505843,2.14106844741235,3.43155258764608,4.56844741235392,4.14106844741235,1.85893155258765,0.286310517529215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
