"","INMBtype7","INpara","INZ","INMBtype6","INlasso","INW","INfoot","INMBtype5","INMBtype2"," SNlasso","SNtorii","SNhook","SNhorn","INMBPDF","INrope","INMBdesc3","INMBdesc2","INtorii","INhorn","INhook","INbigloop","INUturnMB","SNstiff","SNPDFpyg","SNbronto","palp","antenna","INleucoPU","INsplitPUh","INdecussM","INdecusshook","INDLSO","MNladder","MNant","Ser-h1"
"INMBtype7",0,7,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INpara",2,6,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INZ",2,2,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INMBtype6",1,0,3,5,0,16,8,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"INlasso",0,0,0,5,29,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1
"INW",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"INfoot",1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0
"INMBtype5",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"INMBtype2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
" SNlasso",0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,6,0
"SNtorii",0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0
