	pns1	pns10	pns11	pns12	pns13	pns14	pns2	pns3	pns4	pns5	pns6	pns7	pns9	ATEN1	ATEN2	ATEN3	ATEN4	pna	pnb	pnc	pnf	pnh	pnu	pnx	coronet1	coronet11	coronet12	coronet14	coronet16	coronet2	coronet3	coronet4	coronet6	coronet7	coronet8	coronet9	pr1	pr10	pr11	pr12	pr13	pr14	pr15	pr16	pr17	pr18	pr19	pr2	pr20	pr21	pr22	pr23	pr3	pr4	pr5	pr6	pr7	pr8	pr9	pra	prb	prc	prd	pre	prf	prg	lens7	101	110	113	114	107	Ant1	Ant2	4	6	20	25	29	30	61	160	162	163	164	177	181	vacIN1	trIN	1	2	15	23	38	55	59	60	62	65	68	70	73	78	79	ukn	ukn2	3	13	17	18	21	22	24	33	41	42	43	46	48	50	85	88	16	57	138	90	92	aaIN1	aaIN2	aaIN3	5	35	131	Em1	Em2	74	94	108	116	123	124	127	130	140	157	80	86	96	100	126	121	105	112	119	120	134	135	142	143	147	152	153	159	161	93	106	122	125	103	NeckNL	NeckNR	AMG1	AMG2	AMG3	AMG4	AMG5	AMG6	AMG7	ddNL	ddNR	MGIN1L	MGIN1R	MGIN2L	MGIN2R	MGIN3L	MGIN3R	MN1L	MN1R	MN2L	MN2R	MN3L	MN3R	MN4L	MN4R	MN5L	MN5R	ACIN1L	ACIN2L	ACIN2R	PMGN1	PMGN2	midtail1	midtail2	midtail4	midtail7	BTN1	BTN2	BTN3	BTN4	mul	mulm	mur	murm	bm	bm-noto
pns1					0.96			0.12	0.18	0.24			1.32																																																														0.36	0.6				0.24																			0.12																																																																																																																			0.24	
pns10	0.66		1.62	0.72	0.12			0.9	1.26		0.6	0.6	0.78																																																														0.96	1.5																																																										2.46	1.8																																																																																
pns11		0.42		0.18				0.24	0.12		0.96	1.26	0.48																																																														2.46	0.9		0.72		0.24		0.9		0.48	0.48																																																	0.66	4.74		0.06								0.12																															0.3																														0.47									
pns12	0.12	1.02	0.24		0.54			1.02	0.36																																																																		1.2	0.42		0.84		0.18																			0.9																																			1.62	4.02																																									0.3																																							
pns13	0.78							0.42	0.24		0.24		0.06				0.12																																																															0.36																																																																																																																																						0.18	
pns3	0.06	0.24	0.06	1.02	0.3				0.6			0.9																																																															2.1								0.36			0.54																																																2.66	2.58																																										0.36																																						
pns4	0.66			0.9				0.12				0.42																																																															0.66					0.24				0.18																																																		1.08	5.1																																																																							0.06									
pns5						0.42																																																																																																																																																																																																																	
pns6			0.12			0.42																																																																						0.12			0.42																																																																																																																																								
pns7	0.12	0.12	0.9	0.36				0.6	0.36		0.3		0.36																																																														0.6				0.72						0.3																																																	2.16	4.38																																									0.24																														1.08	1.38		0.06						
pns9		0.06	0.42			0.42					0.84	0.42																																																																				0.42																																																																																																																																							
ATEN1	0.12															0.06																																																																																																																						0.12																																																																																	
ATEN2														0.06			0.06																																																																																																					0.12																0.18																																			0.78																																														
ATEN3																																																																																																																												0.06										1.14																																																																																	
ATEN4	0.18													0.06																																																														0.24	0.6		0.24																																							0.6																0.54																																																																																	
pna																			1.26		0.72	0.84																																																																																																																																																								0.24		6.24																																						0.06	
pnb																		1.2		1.26		0.24																																																																																																																																																										4.68																																							
pnc																			0.9		0.06																																																																																																																																																											5.76																																							
pnf																		1.2																																																																																																																																																										1.68				5.16																																						0.24	
pnh																		1.5	0.18			0.42	1.26																																																																																																																																																																																															0.18	
pnu																						0.18																																																																																																																																																																																																0.24	
pnw																							0.35	0.63																																																																																																																																																																																														2.24	
pnx																																																																																																																																																																																																																						1.33	
coronet1																													0.06	0.18	0.36	0.06			0.06																																																																	0.06																																																				0.06		0.6																																																												0.18	
coronet10																										0.24																																																																																																																											0.06				0.66																																																													0.12	
coronet11																																																																																																																																																									0.18	0.3																																																													
coronet12																															0.24																																																																																																																												0.06																																																											0.12	
coronet16																									0.42						0.12	0.12			0.06																																																																	0.06																												0.06																								0.06		0.6	0.96																																																											0.18	
coronet3																									0.06		0.3		0.06						0.06																																																																																																																					0.12																																																														0.3	
coronet4																													0.06	0.3	0.06																																																																																																																					0.18						1.2																																																													
coronet5																																			0.12																																																																																																																																																																																			1.02	
coronet6																																			0.12	0.18																																																																																																																						0.12																																																												0.06	
coronet7																										0.18																																																																								0.54					0.06																																																																																																															0.06	
coronet8																									0.18					0.18	0.24		0.06																																																																																																																								0.18	0.06																																																												0.54	
coronet9																																	0.12																																																																																																																									0.24																																																													
pr1																																							0.66				0.18		0.54				0.18	0.9	0.42					0.12			0.12																																																																														0.18				0.12			0.42		0.72					0.84	0.18																																																														0.06	
pr10																																								0.06							0.06					0.3	0.06				0.06																																												0.06																																				0.06		0.66	0.42		0.06	0.06			0.18	0.18	0.78																													0.12																																						
pr11																																						0.06					0.12		0.24		0.18			0.3			0.12			0.06																																																																					0.3														0.12	1.02							0.3	0.3	0.18	0.18	0.36																																																																
pr12																																						0.06					0.18																															0.12																										0.06	0.6																										0.18												0.48	0.42			1.08		0.12			0.48	0.6	1.44		0.72	0.54	0.3			0.12						0.06																																													0.12							
pr13																																									0.42		0.24				0.24					0.12							0.06	0.6	0.54	0.24		0.12																									0.42																																					0.12													0.12			0.6	0.06		0.18								0.12								0.06																																																					0.6	
pr14																																											0.18																																																																		0.12																																																																																																										
pr15																																					0.12		0.06	0.12	1.08	0.48			1.02				0.54	0.12		0.42		0.72		0.78	0.24					0.12	0.06					0.18						0.12														0.18	0.9												0.24		0.36					0.06								0.18										0.42		0.06	0.36	0.24						0.36	0.24			0.24	0.06		1.62	0.12		0.18				0.6	2.46		0.54	0.36															0.06																																													0.18	
pr16																																																		0.06	1.08	0.06				0.3	0.06	0.18	0.06																																										0.3																																										0.72							0.24	0.18	0.84																																																															
pr17																																							0.66				0.66			0.66	0.06	0.36	0.12	0.96		0.18	0.06									0.24																																																																												0.06	0.06	0.06						0.06																																																																				1.5	
pr18																																							0.06								0.12		0.24													0.9																																																																												0.12		0.18			0.24																																																																							0.42	
pr19																																					0.24		0.3									0.06	0.66		0.9		0.3			0.3	0.12	0.36	0.42						0.36																								0.36																																																0.12		1.14	0.12			0.6	0.18	0.18	0.42						0.48	0.12																																																													0.18	
pr2																																						0.12								0.24					0.18		0.06	0.06					0.24																																																																																				0.48																																																																							0.12	
pr20																																						0.3						0.36			0.48	0.06	0.36	0.54		0.06	0.66			0.06	0.36			0.18		1.02			0.48															0.3			0.12						0.12												0.36		0.12													0.12													0.12							0.06	0.24		0.06		0.06	1.32	0.36	0.6	0.36	0.24					0.48		0.42																																																													0.18	
pr21																																					0.12		0.66					0.54			0.47		0.12		0.06	0.12						0.12	0.54			0.12																											0.06												0.06																																															0.06	0.12												0.06																																																						
pr22																																					0.06				0.36			0.12		0.12	0.06				0.12								0.42			0.3																																																																												0.24	0.66	0.36						0.18					0.6		0.12																																																													0.24	
pr23																																						0.3			0.12		0.12	0.18	0.18		0.3		0.06								0.18					0.12												0.12																										0.18	0.06		0.24																										0.24														0.36			0.42					0.48	0.78		0.24																																																												0.12	
pr3																																						0.6		0.24	0.06					0.06		0.18							0.06	0.18						0.06																																							0.06											0.825																											0.54	0.24			0.18				0.06	0.66		0.06		0.3																																																															
pr4																																											0.36		0.12							0.225	0.465						0.06				0.12											0.06																											0.24																			0.06			1.14			0.12			0.3	0.06									0.12				0.18				0.48			0.6	0.54																																																																
