presyn_cell,type_presyn,postsyn_cell,synapses,synapse_fraction
PRC,Sensory neuron,PRC,21,0.7241379310344828
PRC,Sensory neuron,IN1,307,0.7415458937198067
PRC,Sensory neuron,INton,1,0.030303030303030304
PRC,Sensory neuron,INbigloop,1,0.05555555555555555
PRC,Sensory neuron,INR1,8,0.27586206896551724
cPRC,Sensory neuron,SNnuchNS,1,0.041666666666666664
cPRC,Sensory neuron,SN-DLSO1.2,1,0.09090909090909091
cPRC,Sensory neuron,SN-DLSO2l,1,0.03333333333333333
cPRC,Sensory neuron,SN-ASTC,37,0.7551020408163265
cPRC,Sensory neuron,SN-DLSO3,1,0.09090909090909091
cPRC,Sensory neuron,SN-IRP2-FMRF,2,0.2857142857142857
cPRC,Sensory neuron,SN-MIP1,26,0.6341463414634146
cPRC,Sensory neuron,SN-WLD,1,0.023809523809523808
cPRC,Sensory neuron,SN-NS5,4,0.36363636363636365
cPRC,Sensory neuron,SN-NS19,66,0.9428571428571428
cPRC,Sensory neuron,SN-NS20,16,0.8
cPRC,Sensory neuron,SN-NS16,3,0.2727272727272727
cPRC,Sensory neuron,INpreSer,1,0.125
cPRC,Sensory neuron,INRGWa,64,0.2191780821917808
cPRC,Sensory neuron,INNOS,41,0.5942028985507246
cPRC,Sensory neuron,INarc2,1,0.010752688172043012
cPRC,Sensory neuron,INsplitPB-RF/Ya,1,0.05
SNnuchPDF,Sensory neuron,SNnuchPDF,37,0.36633663366336633
SNnuchPDF,Sensory neuron,SNnuchBx,2,0.2857142857142857
SNnuchPDF,Sensory neuron,SNPDF-dcl1,1,0.09090909090909091
SNnuchPDF,Sensory neuron,SN-DLSO2l,1,0.03333333333333333
SNnuchPDF,Sensory neuron,SN-ASTC,1,0.02040816326530612
SNnuchPDF,Sensory neuron,SN-DLSO3-PDF,2,0.10526315789473684
SNnuchPDF,Sensory neuron,SN-DLSO3,1,0.09090909090909091
SNnuchPDF,Sensory neuron,SNasym,3,0.3333333333333333
SNnuchPDF,Sensory neuron,SN-NS4,2,0.3333333333333333
SNnuchPDF,Sensory neuron,SN-NS20,1,0.05
SNnuchPDF,Sensory neuron,SN-NS29,1,0.5
SNnuchPDF,Sensory neuron,SN-DLSO1.1NP,1,0.03333333333333333
SNnuchPDF,Sensory neuron,INpreSer,1,0.125
SNnuchPDF,Sensory neuron,INRGWa,7,0.023972602739726026
SNnuchPDF,Sensory neuron,INNOS,1,0.014492753623188406
SNnuchPDF,Sensory neuron,cMNATO,3,0.05357142857142857
SNnuchPDF,Sensory neuron,INarc1,44,0.27672955974842767
SNnuchPDF,Sensory neuron,INarc2,44,0.4731182795698925
SNnuchPDF,Sensory neuron,INMBtype7,2,0.16666666666666666
SNnuchPDF,Sensory neuron,INZ,3,0.06666666666666667
SNnuchPDF,Sensory neuron,INbigloop,1,0.05555555555555555
SNnuchPDF,Sensory neuron,INasc-pyg,2,0.012048192771084338
SNnuchPDF,Sensory neuron,INsqNSasym,2,0.1
SNnuchPDF,Sensory neuron,INMBdescFMRF,3,0.2
SNnuchPDF,Sensory neuron,INDLSO,3,0.17647058823529413
SNnuchPDF,Sensory neuron,MNant,2,0.01015228426395939
SNnuchPDF,Sensory neuron,Ser-tr1,5,0.05
SNnuchNS,Sensory neuron,SNnuchNS,1,0.041666666666666664
SNnuchNS,Sensory neuron,SN-DLSO,1,0.009174311926605505
SNnuchNS,Sensory neuron,SN-WLD,5,0.11904761904761904
SNnuchNS,Sensory neuron,SN-YF5cil,3,0.13636363636363635
SNnuchNS,Sensory neuron,SN-DLSO1.3,1,0.08333333333333333
SNnuchNS,Sensory neuron,INRGWa,8,0.0273972602739726
SNnuchNS,Sensory neuron,INCrossbow,1,0.012048192771084338
SNnuchBx,Sensory neuron,SNnuchBx,2,0.2857142857142857
SNnuchBx,Sensory neuron,INbiax,9,0.2647058823529412
SNgolden,Sensory neuron,SNnuchPDF,1,0.009900990099009901
SNgolden,Sensory neuron,SNgolden,4,1
SNgolden,Sensory neuron,SNlasso,1,0.03225806451612903
SNgolden,Sensory neuron,SN-DLSO1.2-1,11,0.7333333333333333
SNgolden,Sensory neuron,SN-NS19,1,0.014285714285714285
SNgolden,Sensory neuron,SN-DLSO1.1NP,8,0.26666666666666666
SNgolden,Sensory neuron,INasc-pyg,1,0.006024096385542169
SNgolden,Sensory neuron,INDLSO,1,0.058823529411764705
SNgolden,Sensory neuron,MNgland-head,2,0.046511627906976744
SNhorn,Sensory neuron,SNantlerPDF,1,0.16666666666666666
SNhorn,Sensory neuron,hPUc1,1,0.1111111111111111
SNhorn,Sensory neuron,INhook,1,0.06666666666666667
SNhorn,Sensory neuron,INhorn,23,0.41818181818181815
SNhorn,Sensory neuron,INtorii,1,0.030303030303030304
SNhorn,Sensory neuron,INMBdesc2,1,0.0625
SNhorn,Sensory neuron,INiaStiff,1,0.05263157894736842
SNhorn,Sensory neuron,MNant,8,0.04060913705583756
SNhorn,Sensory neuron,MC3cover,1,0.0070921985815602835
SNhook,Sensory neuron,SNlasso,1,0.03225806451612903
SNhook,Sensory neuron,MS3,1,0.16666666666666666
SNhook,Sensory neuron,SNaant,1,0.3333333333333333
SNhook,Sensory neuron,INMBtype6,1,0.07692307692307693
SNhook,Sensory neuron,INMBtype7,1,0.08333333333333333
SNhook,Sensory neuron,INpro,3,0.02054794520547945
SNhook,Sensory neuron,INZ,2,0.044444444444444446
SNhook,Sensory neuron,INbigloop,1,0.05555555555555555
SNhook,Sensory neuron,INdecussfoot,2,0.029850746268656716
SNhook,Sensory neuron,INdecusshook,14,0.2153846153846154
SNhook,Sensory neuron,INhorn,5,0.09090909090909091
SNhook,Sensory neuron,INtorii,1,0.030303030303030304
SNhook,Sensory neuron,INMBdesc3,1,0.1
SNhook,Sensory neuron,MNant,24,0.1218274111675127
SNlasso,Sensory neuron,SNMB2,1,0.07142857142857142
SNlasso,Sensory neuron,SN-DLSO3-PDF,4,0.21052631578947367
SNlasso,Sensory neuron,SN-DLSO1.1NP,1,0.03333333333333333
SNlasso,Sensory neuron,INRGWa,16,0.0547945205479452
SNlasso,Sensory neuron,INNOS,3,0.043478260869565216
SNlasso,Sensory neuron,INdc,4,0.16
SNlasso,Sensory neuron,INW,11,0.11827956989247312
SNlasso,Sensory neuron,INZ,1,0.022222222222222223
SNlasso,Sensory neuron,INlasso-postSN,22,0.6666666666666666
SNlasso,Sensory neuron,INdescLuqinPDF,1,0.02127659574468085
SNlasso,Sensory neuron,INsqNSasym,1,0.05
SNlasso,Sensory neuron,INMBdescFMRF,1,0.06666666666666667
SNlasso,Sensory neuron,INDLSO,1,0.058823529411764705
SNlasso,Sensory neuron,INUturnMB,6,0.14285714285714285
SNlasso,Sensory neuron,MNant,6,0.030456852791878174
SNlasso,Sensory neuron,Ser-tr1,1,0.01
SNlasso,Sensory neuron,MNgland-head,1,0.023255813953488372
SNMIP-vc,Sensory neuron,SNMIP-vc,2,0.13333333333333333
SNMIP-vc,Sensory neuron,SNantlerPDF,1,0.16666666666666666
SNMIP-vc,Sensory neuron,MS1,1,0.06666666666666667
SNMIP-vc,Sensory neuron,MS3,1,0.16666666666666666
SNMIP-vc,Sensory neuron,INdecussPre,1,0.023255813953488372
SNMIP-vc,Sensory neuron,INCrossbow,5,0.060240963855421686
SNMIP-vc,Sensory neuron,INarc1,7,0.0440251572327044
SNMIP-vc,Sensory neuron,INpear,2,0.2222222222222222
SNMIP-vc,Sensory neuron,INsqNSasym,4,0.2
SNMIP-vc,Sensory neuron,INUturnMB,1,0.023809523809523808
SNMIP-vc,Sensory neuron,INiaStiff,2,0.10526315789473684
