"";"CR";"PB";"SNbronto";"hPU";"interparaPM";"SNblunt";"INsplitPUh";"INsplitCR";"INsplitBronto";"INsplitPB";"INCM";"Loop";"MC3cover";"MNant";"MNbiramous";"MNspinning";"MNspider_ant";"MNspider_post";"MNcrab";"spinGland";"ciliary_band";"MUSac";"MUSchae";"MUSlong";"MUSob";"cover_cells"
"CR";82;15;0;1;0;0;2;151;0;0;141;0;1;3;0;0;0;0;26;0;2;0;0;0;0;0
"PB";9;48;0;1;0;2;6;4;0;195;0;8;6;7;0;23;0;0;7;1;15;1;0;0;3;40
"SNbronto";0;1;0;0;0;0;1;2;20;2;3;2;21;0;0;5;0;0;0;0;0;0;0;0;0;0
"hPU";0;0;1;10;0;2;14;1;0;0;3;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0
"interparaPM";0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SNblunt";0;3;0;0;0;0;5;0;2;4;2;1;8;1;0;3;0;0;0;0;0;0;0;0;0;0
"INsplitPUh";1;0;0;0;0;0;0;0;0;5;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
"INsplitCR";14;2;0;1;0;0;0;24;0;0;2;0;1;0;7;7;1;0;25;0;1;0;0;0;0;0
"INsplitBronto";0;2;1;0;0;0;0;0;0;1;1;2;1;0;0;20;12;6;2;0;0;0;0;0;0;0
"INsplitPB";2;9;0;0;0;0;1;4;0;60;1;8;10;1;0;16;4;0;0;2;0;0;0;0;0;0
"INCM";0;0;3;0;0;0;0;2;2;0;0;31;0;29;2;0;0;0;0;0;0;0;0;0;0;0
"Loop";0;1;0;0;0;1;0;0;0;0;0;0;2;7;0;1;0;2;1;0;471;0;0;1;2;2
"MC3cover";0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;6;0;0;0;0;59
"MNant";0;0;0;0;0;0;0;0;0;0;0;7;0;3;0;0;0;0;0;0;202;0;0;0;0;1
"MNbiramous";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;98;1;3;0
"MNspinning";1;5;0;0;0;4;3;0;2;9;2;7;6;1;0;0;0;0;0;124;0;0;0;0;0;0
"MNspider_ant";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;55;37;11;79;0
"MNspider_post";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;12;5;3;59;0
"MNcrab";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;103;67;120;19;0
"spinGland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ciliary_band";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MUSac";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MUSchae";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MUSlong";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MUSob";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cover_cells";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
