"";"chaeMech";"CR";"SNbronto";"INchaeMech";"INsplitCR";"INsplitBronto";"INsplitCRATO";"INasc-pyg";"INCM";"INFVa-pyg";"INrope";"MNhose";"MNring";"MNspinning";"MNcrab";"MNacicX";"MNspider"
"chaeMech";71;8;0;51;146;45;17;46;10;17;0;8;46;29;7;0;0
"CR";16;82;0;0;150;0;17;7;140;0;21;0;0;0;26;0;0
"SNbronto";5;0;0;0;0;20;0;0;0;0;12;0;0;5;0;0;0
"INchaeMech";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0
"INsplitCR";0;14;0;0;24;0;9;0;0;0;0;0;0;7;25;0;0
"INsplitBronto";0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;12
"INsplitCRATO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"INasc-pyg";0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0
"INCM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"INFVa-pyg";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"INrope";0;0;0;0;0;0;0;0;0;0;0;10;14;5;0;0;21
"MNhose";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
"MNring";0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0
"MNspinning";8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MNcrab";0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0
"MNacicX";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MNspider";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
