"";"CR";"PU";"pygPBunp";"PB";"SNblunt";"SNpygM";"SNantler";"SNPDF-pyg";"SNFVa";"SNbronto";"interparaPM";"chaeMech";"INsplitPUh";"INMC3";"INrope";"INsplitCR";"INsplitCRATO";"INsplitBronto";"INsplitVent";"INasc-pyg";"INsplitPBant";"INsplitPB";"INsplitPB-RFYa";"INCM";"Loop";"MC3cover";"MNant"
"CR";82;16;13;0;0;0;0;0;0;0;0;16;0;0;21;148;17;0;0;7;0;0;0;141;0;0;0
"PU";9;34;0;9;5;0;0;0;0;0;0;12;22;0;5;5;0;0;0;0;6;19;0;0;0;11;0
"pygPBunp";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"PB";0;12;0;46;0;0;0;0;14;0;0;8;6;0;0;0;0;0;0;0;29;195;7;0;7;6;0
"SNblunt";0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;8;0
"SNpygM";0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0
"SNantler";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;25
"SNPDF-pyg";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0
"SNFVa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;17;0
"SNbronto";0;0;0;0;0;0;0;0;0;0;0;5;0;0;12;0;0;20;0;0;0;0;0;0;0;20;0
"interparaPM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0
"chaeMech";8;11;5;6;0;0;0;0;0;0;0;69;0;0;0;140;16;45;0;46;0;0;0;10;0;5;0
"INsplitPUh";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0
"INMC3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;22;0
"INrope";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;26;0;0
"INsplitCR";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;9;0;0;0;0;0;0;0;0;0;0
"INsplitCRATO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"INsplitBronto";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"INsplitVent";0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
"INasc-pyg";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;5;0;0;0;0;0
"INsplitPBant";0;0;0;0;0;0;0;5;0;0;0;0;7;0;0;0;0;0;0;11;0;5;0;0;0;0;0
"INsplitPB";0;5;0;9;0;0;0;13;6;0;0;0;0;0;0;0;0;0;0;21;5;60;0;0;8;10;0
"INsplitPB-RFYa";0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;21;17;0;0;0;5;0
"INCM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;26
"Loop";0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;7
"MC3cover";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MNant";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0
